"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","966.1","...","967.7","2020-03-01 23:24","964.1","2020-03-01 15:14","22.0","29.9","2020-03-01 12:35","15.5","2020-03-01 23:47","...","69","32","2020-03-01 10:49","1.1","4","6.8","206","2020-03-01 11:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","968.7","...","970.9","2020-03-02 22:31","966.6","2020-03-02 15:13","20.4","27.6","2020-03-02 13:16","13.7","2020-03-02 06:30","...","75","49","2020-03-02 13:59","1.0","212","5.8","191","2020-03-02 12:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","969.5","...","971.6","2020-03-03 08:47","966.6","2020-03-03 16:20","21.8","28.6","2020-03-03 13:01","16.0","2020-03-03 06:25","...","73","39","2020-03-03 13:30","0.9","66","6.5","239","2020-03-03 11:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","968.5","...","971.0","2020-03-04 08:42","965.7","2020-03-04 15:10","21.3","28.3","2020-03-04 13:05","16.7","2020-03-04 05:25","...","80","47","2020-03-04 13:05","0.9","56","5.6","219","2020-03-04 13:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","969.1","...","971.0","2020-03-05 09:32","967.6","2020-03-05 14:10","18.5","23.4","2020-03-05 11:52","16.6","2020-03-05 05:20","...","93","71","2020-03-05 11:48","0.7","177","5.4","193","2020-03-05 12:37","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","968.7","...","971.0","2020-03-06 10:05","966.1","2020-03-06 14:53","19.7","25.8","2020-03-06 13:24","16.7","2020-03-06 23:59","...","85","53","2020-03-06 13:21","0.6","205","4.3","211","2020-03-06 13:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","966.1","...","969.0","2020-03-07 00:01","962.8","2020-03-07 15:52","22.4","30.1","2020-03-07 13:34","15.8","2020-03-07 00:51","...","72","42","2020-03-07 13:35","1.3","39","6.0","196","2020-03-07 12:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","964.0","...","966.0","2020-03-08 08:27","961.5","2020-03-08 15:41","22.6","29.5","2020-03-08 14:27","17.0","2020-03-08 05:21","...","76","47","2020-03-08 12:57","1.3","43","7.1","221","2020-03-08 13:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","962.6","...","964.8","2020-03-09 22:48","959.8","2020-03-09 15:07","23.4","30.4","2020-03-09 12:52","18.2","2020-03-09 01:32","...","72","40","2020-03-09 15:11","1.5","43","7.4","205","2020-03-09 10:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","964.8","...","968.0","2020-03-10 22:49","962.6","2020-03-10 03:15","21.2","25.7","2020-03-10 13:52","18.8","2020-03-10 05:41","...","93","65","2020-03-10 13:00","0.9","212","4.8","204","2020-03-10 14:55","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","969.2","...","971.2","2020-03-11 08:56","967.6","2020-03-11 02:16","19.6","22.1","2020-03-11 11:50","17.8","2020-03-11 21:58","...","88","71","2020-03-11 11:41","0.9","217","5.2","195","2020-03-11 13:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","968.5","...","...","...","...","...","21.8","...","...","...","...","...","79","...","...","1.0","205","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","967.6","...","969.6","2020-03-13 10:15","965.4","2020-03-13 14:38","23.9","30.5","2020-03-13 11:34","18.8","2020-03-13 05:17","...","76","47","2020-03-13 11:11","1.3","6","5.9","208","2020-03-13 15:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","967.4","...","969.7","2020-03-14 22:19","965.7","2020-03-14 13:54","18.6","21.0","2020-03-14 00:19","16.3","2020-03-14 23:19","...","99","99","2020-03-14 00:01","0.6","220","3.7","222","2020-03-14 10:49","24.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","970.0","...","972.0","2020-03-15 10:24","968.1","2020-03-15 15:39","17.3","22.8","2020-03-15 15:09","14.7","2020-03-15 07:18","...","85","51","2020-03-15 14:57","0.9","211","4.9","225","2020-03-15 17:57","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","971.6","...","973.4","2020-03-16 08:17","969.4","2020-03-16 14:55","18.6","25.2","2020-03-16 14:27","12.3","2020-03-16 04:45","...","72","38","2020-03-16 13:15","1.1","41","6.0","198","2020-03-16 14:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
