"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","946.2","...","948.0","2020-10-01 21:43","944.6","2020-10-01 03:58","22.0","26.6","2020-10-01 10:15","19.4","2020-10-01 03:42","...","91","69","2020-10-01 10:17","0.5","117","5.5","105","2020-10-01 04:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","947.7","...","949.4","2020-10-02 21:30","946.3","2020-10-02 03:31","23.4","30.5","2020-10-02 12:22","19.2","2020-10-02 05:01","...","87","54","2020-10-02 10:31","0.4","19","4.7","225","2020-10-02 12:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","947.7","...","949.2","2020-10-03 00:01","945.8","2020-10-03 14:50","23.2","31.1","2020-10-03 13:13","19.1","2020-10-03 02:39","...","86","55","2020-10-03 09:39","0.5","38","4.0","242","2020-10-03 12:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","946.7","...","948.7","2020-10-04 00:01","944.9","2020-10-04 14:22","24.5","31.5","2020-10-04 12:21","20.6","2020-10-04 05:36","...","85","58","2020-10-04 08:44","0.3","26","4.6","258","2020-10-04 12:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","947.4","...","948.9","2020-10-05 20:54","946.3","2020-10-05 14:24","23.4","30.1","2020-10-05 11:06","20.1","2020-10-05 01:41","...","86","59","2020-10-05 11:07","0.4","75","3.4","256","2020-10-05 11:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","948.7","...","950.0","2020-10-06 21:25","947.6","2020-10-06 03:48","23.1","29.0","2020-10-06 10:37","20.4","2020-10-06 02:27","...","85","68","2020-10-06 08:37","0.7","152","4.8","203","2020-10-06 22:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","949.1","...","950.9","2020-10-07 09:20","947.5","2020-10-07 15:50","22.2","27.0","2020-10-07 11:34","19.4","2020-10-07 05:16","...","84","64","2020-10-07 11:05","0.4","128","5.1","96","2020-10-07 19:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","949.4","...","951.0","2020-10-08 21:49","948.1","2020-10-08 02:55","21.1","25.1","2020-10-08 12:01","19.2","2020-10-08 05:36","...","85","69","2020-10-08 11:02","0.2","46","3.3","104","2020-10-08 00:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","949.1","...","950.5","2020-10-09 00:01","947.8","2020-10-09 15:24","21.9","28.9","2020-10-09 10:15","19.0","2020-10-09 03:55","...","86","60","2020-10-09 08:33","0.3","48","3.1","93","2020-10-09 16:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","947.6","...","949.1","2020-10-10 07:58","946.4","2020-10-10 14:44","22.8","33.0","2020-10-10 11:09","19.1","2020-10-10 06:06","...","87","55","2020-10-10 11:13","0.3","79","3.7","241","2020-10-10 11:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","946.3","...","947.7","2020-10-11 08:23","944.7","2020-10-11 15:15","23.8","32.3","2020-10-11 13:24","20.3","2020-10-11 05:38","...","83","61","2020-10-11 11:03","0.3","102","3.5","92","2020-10-11 09:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","946.6","...","948.4","2020-10-12 21:44","945.1","2020-10-12 14:45","24.2","31.2","2020-10-12 12:19","20.8","2020-10-12 04:52","...","84","49","2020-10-12 12:06","0.5","3","5.6","82","2020-10-12 08:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","948.8","...","950.7","2020-10-13 21:20","946.8","2020-10-13 02:35","24.4","31.7","2020-10-13 12:27","20.4","2020-10-13 05:02","...","86","62","2020-10-13 11:27","0.3","187","3.6","241","2020-10-13 09:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","950.3","...","951.8","2020-10-14 10:08","949.2","2020-10-14 15:04","24.0","30.3","2020-10-14 12:15","20.8","2020-10-14 23:57","...","86","55","2020-10-14 12:21","0.4","80","4.3","241","2020-10-14 13:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","949.8","...","951.4","2020-10-15 09:26","948.3","2020-10-15 14:44","23.7","30.2","2020-10-15 10:12","20.2","2020-10-15 03:22","...","83","60","2020-10-15 10:13","0.4","5","4.0","268","2020-10-15 10:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","949.7","...","...","...","...","...","23.5","...","...","...","...","...","87","...","...","0.2","2","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","950.2","...","951.8","2020-10-17 09:08","948.9","2020-10-17 14:05","22.7","28.5","2020-10-17 12:39","19.7","2020-10-17 23:25","...","82","56","2020-10-17 14:08","0.5","180","5.2","115","2020-10-17 13:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","950.6","...","952.2","2020-10-18 09:27","949.5","2020-10-18 03:18","22.4","28.5","2020-10-18 11:40","19.6","2020-10-18 01:29","...","89","68","2020-10-18 11:44","0.2","40","3.0","131","2020-10-18 09:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","950.0","...","951.5","2020-10-19 21:11","948.2","2020-10-19 14:38","22.3","27.7","2020-10-19 14:00","19.6","2020-10-19 02:45","...","90","74","2020-10-19 09:48","0.2","77","3.4","243","2020-10-19 12:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","948.2","...","950.7","2020-10-20 00:07","946.7","2020-10-20 14:46","23.1","30.1","2020-10-20 12:49","19.6","2020-10-20 04:42","...","86","59","2020-10-20 11:16","0.3","3","3.9","224","2020-10-20 12:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","944.9","...","947.0","2020-10-21 00:12","943.2","2020-10-21 16:00","22.4","27.2","2020-10-21 09:47","20.4","2020-10-21 00:15","...","92","72","2020-10-21 09:57","0.2","11","3.0","227","2020-10-21 09:11","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","944.1","...","946.3","2020-10-22 21:42","942.3","2020-10-22 03:24","23.6","30.9","2020-10-22 11:57","20.3","2020-10-22 23:39","...","87","66","2020-10-22 12:03","0.3","76","4.0","115","2020-10-22 20:12","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","946.4","...","948.6","2020-10-23 23:42","943.8","2020-10-23 02:25","20.2","25.0","2020-10-23 13:10","18.2","2020-10-23 17:56","...","87","68","2020-10-23 13:16","0.8","106","6.8","124","2020-10-23 00:13","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","949.3","...","951.2","2020-10-24 23:13","946.8","2020-10-24 02:34","20.7","24.8","2020-10-24 12:35","18.2","2020-10-25 00:00","...","76","60","2020-10-24 12:04","1.2","105","7.5","101","2020-10-24 01:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","950.4","...","952.0","2020-10-25 09:14","948.8","2020-10-25 15:22","21.3","29.5","2020-10-25 12:13","17.4","2020-10-25 05:34","...","81","49","2020-10-25 12:08","0.8","109","7.4","100","2020-10-25 00:54","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","949.0","...","950.8","2020-10-26 08:56","947.0","2020-10-26 15:11","22.7","28.8","2020-10-26 11:53","18.7","2020-10-26 06:11","...","79","55","2020-10-26 12:01","0.7","104","4.6","135","2020-10-26 17:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","948.8","...","950.5","2020-10-27 22:12","946.9","2020-10-27 14:28","23.3","30.1","2020-10-27 10:56","19.0","2020-10-27 03:25","...","77","48","2020-10-27 13:06","0.6","39","5.5","172","2020-10-27 19:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","951.0","...","952.5","2020-10-28 23:30","949.0","2020-10-28 04:08","23.0","29.7","2020-10-28 11:30","19.7","2020-10-28 01:20","...","85","62","2020-10-28 09:01","0.5","252","6.0","125","2020-10-28 20:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","952.2","...","953.6","2020-10-29 07:55","950.9","2020-10-29 13:19","23.2","30.9","2020-10-29 12:42","20.2","2020-10-29 23:51","...","86","58","2020-10-29 11:56","0.3","76","3.7","212","2020-10-29 07:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","952.0","...","953.2","2020-10-30 09:32","950.6","2020-10-30 15:05","20.7","25.1","2020-10-30 09:51","18.8","2020-10-30 22:19","...","86","72","2020-10-30 09:52","0.6","103","6.5","107","2020-10-30 21:28","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","951.1","...","953.2","2020-10-31 09:04","949.7","2020-10-31 16:42","20.3","26.0","2020-10-31 11:24","17.2","2020-10-31 23:11","...","68","44","2020-10-31 09:45","0.9","157","5.6","114","2020-10-31 18:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
