"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","956.7","...","958.5","2021-02-01 09:04","954.6","2021-02-01 14:32","17.3","21.9","2021-02-01 12:41","15.0","2021-02-01 06:47","...","88","64","2021-02-01 12:30","X","X","0.0","0","2021-02-01 00:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","956.5","...","958.3","2021-02-02 09:08","954.9","2021-02-02 15:14","17.5","21.8","2021-02-02 10:30","14.9","2021-02-02 23:41","...","91","72","2021-02-02 09:59","X","X","0.5","105","2021-02-02 22:49","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","957.9","...","958.9","2021-02-03 20:40","956.1","2021-02-03 14:03","15.7","18.7","2021-02-03 13:43","14.5","2021-02-03 23:38","...","94","80","2021-02-03 14:42","8.8","52","18.1","56","2021-02-03 13:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","957.8","...","959.9","2021-02-04 09:07","956.1","2021-02-04 14:58","16.7","20.1","2021-02-04 10:29","14.3","2021-02-04 05:57","...","91","76","2021-02-04 10:31","9.1","55","18.1","93","2021-02-04 22:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","956.3","...","958.5","2021-02-05 09:10","955.0","2021-02-05 14:42","16.1","19.8","2021-02-05 14:13","14.4","2021-02-05 08:16","...","97","78","2021-02-05 14:09","7.7","59","16.2","60","2021-02-05 02:07","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","954.9","...","957.1","2021-02-06 09:07","953.5","2021-02-06 15:57","18.1","23.3","2021-02-06 13:20","15.3","2021-02-06 05:45","...","91","69","2021-02-06 12:07","6.2","71","13.4","56","2021-02-06 22:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","954.9","...","956.5","2021-02-07 09:22","953.0","2021-02-07 15:22","18.2","22.4","2021-02-07 12:07","15.9","2021-02-07 03:03","...","91","69","2021-02-07 11:58","8.4","54","17.4","68","2021-02-07 21:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","955.4","...","957.0","2021-02-08 23:06","954.1","2021-02-08 14:37","17.9","21.7","2021-02-08 12:16","15.6","2021-02-08 22:36","...","93","71","2021-02-08 09:43","9.8","82","24.7","46","2021-02-08 22:10","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","954.9","...","957.2","2021-02-09 10:06","953.2","2021-02-09 15:41","15.5","17.0","2021-02-09 12:59","14.7","2021-02-09 07:46","...","100","91","2021-02-09 13:00","11.7","64","24.4","52","2021-02-09 01:40","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
