"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.3","...","1014.0","2021-12-01 22:11","1010.2","2021-12-01 00:01","19.7","24.3","2021-12-01 14:51","16.6","2021-12-01 22:26","...","76","58","2021-12-01 13:43","0.9","1","5.0","280","2021-12-01 13:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.4","...","1014.8","2021-12-02 22:51","1010.5","2021-12-02 14:46","19.0","25.8","2021-12-02 13:23","13.2","2021-12-02 06:31","...","73","35","2021-12-02 13:23","0.7","19","4.7","238","2021-12-02 14:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.7","...","1016.0","2021-12-03 23:51","1011.3","2021-12-03 13:21","18.7","25.7","2021-12-03 12:57","13.2","2021-12-03 06:43","...","75","37","2021-12-03 12:01","0.7","4","5.9","177","2021-12-03 13:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1014.9","...","1016.5","2021-12-04 08:14","1012.6","2021-12-04 14:14","18.5","26.5","2021-12-04 14:21","11.9","2021-12-04 06:31","...","72","10","2021-12-04 06:51","0.6","186","5.7","176","2021-12-04 14:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1013.9","...","1016.1","2021-12-05 08:47","1011.5","2021-12-05 14:46","18.7","26.6","2021-12-05 15:51","12.4","2021-12-05 06:59","...","71","31","2021-12-05 15:42","0.8","305","6.0","44","2021-12-05 12:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1012.1","...","1013.2","2021-12-06 08:27","1010.0","2021-12-06 14:42","19.2","27.9","2021-12-06 13:11","12.4","2021-12-06 05:33","...","74","25","2021-12-06 14:11","0.6","5","5.2","176","2021-12-06 16:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.6","...","1015.3","2021-12-07 23:45","1012.0","2021-12-07 02:41","20.4","27.1","2021-12-07 12:32","14.4","2021-12-07 06:31","...","80","45","2021-12-07 11:53","0.5","21","4.7","206","2021-12-07 13:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1015.6","...","1017.3","2021-12-08 09:04","1013.7","2021-12-08 14:53","20.5","27.3","2021-12-08 13:01","14.9","2021-12-08 06:11","...","78","39","2021-12-08 13:11","0.6","4","5.7","171","2021-12-08 15:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.3","...","1017.1","2021-12-09 08:31","1013.5","2021-12-09 14:44","20.6","27.1","2021-12-09 12:41","14.6","2021-12-09 06:21","...","74","39","2021-12-09 13:01","0.7","148","4.8","326","2021-12-09 12:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
