"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.5","...","1011.6","2020-05-01 08:32","1007.1","2020-05-01 16:31","28.0","32.1","2020-05-01 10:42","23.8","2020-05-01 03:41","...","60","44","2020-05-01 13:02","1.7","309","8.5","325","2020-05-01 16:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1007.1","...","1009.2","2020-05-02 08:51","1005.3","2020-05-02 16:22","28.7","33.5","2020-05-02 11:04","25.2","2020-05-02 05:38","...","74","51","2020-05-02 11:04","1.7","244","9.0","261","2020-05-02 12:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.5","...","1007.9","2020-05-03 08:32","1005.0","2020-05-03 03:21","28.0","31.0","2020-05-03 12:54","25.4","2020-05-03 04:21","...","83","61","2020-05-03 12:25","1.5","251","7.4","285","2020-05-03 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.8","...","1008.9","2020-05-04 08:24","1006.7","2020-05-04 02:11","28.3","32.0","2020-05-04 12:02","25.6","2020-05-04 04:01","...","79","51","2020-05-04 13:11","1.7","239","7.5","247","2020-05-04 13:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1007.1","...","1009.1","2020-05-05 22:06","1005.5","2020-05-05 16:32","28.4","31.7","2020-05-05 11:14","25.2","2020-05-05 05:28","...","82","65","2020-05-05 09:51","1.7","240","8.6","249","2020-05-05 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.0","...","1008.6","2020-05-06 20:31","1005.3","2020-05-06 03:41","28.8","40.4","2020-05-06 15:41","25.7","2020-05-06 03:05","...","76","60","2020-05-06 13:04","1.5","60","7.0","284","2020-05-06 11:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1007.4","...","1008.8","2020-05-07 10:22","1006.0","2020-05-07 16:01","29.7","33.3","2020-05-07 16:41","27.2","2020-05-07 01:51","...","76","53","2020-05-07 16:46","1.2","258","7.2","282","2020-05-07 13:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.3","...","1008.7","2020-05-08 22:12","1005.7","2020-05-08 02:51","29.7","33.2","2020-05-08 10:51","27.1","2020-05-08 05:42","...","80","61","2020-05-08 12:52","1.7","232","8.2","234","2020-05-08 14:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.1","...","1008.5","2020-05-09 09:41","1005.6","2020-05-09 17:12","29.4","32.7","2020-05-09 12:41","26.6","2020-05-09 04:05","...","81","60","2020-05-09 13:42","1.5","242","7.8","265","2020-05-09 13:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
