"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.5","...","1007.0","2021-07-01 23:11","1003.8","2021-07-01 16:12","28.6","31.8","2021-07-01 13:58","25.4","2021-07-01 05:20","...","78","59","2021-07-01 11:52","1.9","156","7.3","245","2021-07-01 14:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1005.8","...","1006.8","2021-07-02 21:55","1004.4","2021-07-02 16:18","28.9","31.5","2021-07-02 13:56","26.5","2021-07-02 05:10","...","77","61","2021-07-02 09:42","1.4","135","7.6","238","2021-07-02 13:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1005.2","...","1006.8","2021-07-03 22:42","1003.6","2021-07-03 16:00","29.0","31.7","2021-07-03 09:39","26.7","2021-07-03 04:40","...","78","62","2021-07-03 09:40","1.6","273","7.6","241","2021-07-03 16:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.6","...","1006.9","2021-07-04 22:42","1004.5","2021-07-04 02:32","28.8","31.4","2021-07-04 13:30","26.6","2021-07-04 04:52","...","79","64","2021-07-04 10:28","1.7","35","8.1","336","2021-07-04 17:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.6","...","1006.1","2021-07-06 00:00","1002.6","2021-07-05 19:33","29.1","31.9","2021-07-05 11:19","26.7","2021-07-05 04:52","...","75","60","2021-07-05 10:07","1.8","357","9.5","337","2021-07-05 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.5","...","1008.5","2021-07-06 23:54","1000.7","2021-07-06 04:33","28.8","31.8","2021-07-06 14:42","27.5","2021-07-06 03:30","...","77","61","2021-07-06 14:42","2.1","13","8.9","245","2021-07-06 12:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1008.8","...","1010.7","2021-07-07 23:04","1007.4","2021-07-07 16:26","29.6","32.0","2021-07-07 08:48","27.1","2021-07-07 05:40","...","73","59","2021-07-07 11:13","2.4","160","11.4","212","2021-07-07 10:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1009.3","...","1010.4","2021-07-08 08:04","1007.6","2021-07-08 17:42","29.4","31.6","2021-07-08 11:52","27.3","2021-07-08 05:32","...","75","64","2021-07-08 17:56","1.2","287","9.3","280","2021-07-08 15:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.0","...","1009.4","2021-07-09 00:02","1006.4","2021-07-09 16:03","29.3","32.3","2021-07-09 11:15","26.7","2021-07-09 05:25","...","76","61","2021-07-09 14:26","1.4","135","7.2","294","2021-07-09 13:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
