"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","999.4","...","1001.5","2020-05-01 08:32","997.0","2020-05-01 15:21","27.9","35.5","2020-05-01 12:43","23.0","2020-05-01 03:13","...","63","32","2020-05-01 12:43","1.2","103","6.2","225","2020-05-01 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","997.0","...","999.1","2020-05-02 07:43","995.0","2020-05-02 16:05","29.1","36.7","2020-05-02 11:31","24.0","2020-05-02 05:51","...","69","36","2020-05-02 11:16","1.2","227","6.3","249","2020-05-02 13:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","996.3","...","998.1","2020-05-03 21:41","994.0","2020-05-03 15:31","28.8","37.5","2020-05-03 12:40","23.1","2020-05-03 06:26","...","67","35","2020-05-03 12:34","1.2","58","5.9","252","2020-05-03 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","997.7","...","999.0","2020-05-04 21:32","996.5","2020-05-04 16:36","29.1","38.1","2020-05-04 13:01","23.8","2020-05-04 05:41","...","69","34","2020-05-04 13:01","1.1","103","6.3","232","2020-05-04 15:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","997.0","...","998.2","2020-05-05 00:24","995.3","2020-05-05 16:53","29.4","36.6","2020-05-05 11:12","23.5","2020-05-05 05:35","...","68","40","2020-05-05 14:51","1.1","136","6.6","244","2020-05-05 13:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","996.8","...","998.6","2020-05-06 20:36","995.1","2020-05-06 14:56","30.0","37.5","2020-05-06 13:16","25.3","2020-05-06 05:32","...","61","37","2020-05-06 13:21","1.2","290","6.9","308","2020-05-06 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","997.1","...","998.5","2020-05-07 08:33","995.5","2020-05-07 16:32","30.6","38.2","2020-05-07 11:51","25.7","2020-05-07 04:41","...","61","33","2020-05-07 11:52","1.1","44","6.8","295","2020-05-07 12:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","997.2","...","998.7","2020-05-08 08:53","995.6","2020-05-08 16:12","29.7","37.0","2020-05-08 11:22","25.0","2020-05-08 04:52","...","66","37","2020-05-08 11:22","1.1","65","6.2","251","2020-05-08 13:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","996.9","...","998.2","2020-05-09 22:28","995.6","2020-05-09 15:03","29.4","36.5","2020-05-09 11:51","25.5","2020-05-09 04:12","...","66","40","2020-05-09 10:54","0.9","57","5.7","279","2020-05-09 11:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","997.0","...","998.3","2020-05-10 20:01","994.7","2020-05-10 15:26","29.8","38.0","2020-05-10 12:21","25.5","2020-05-10 03:57","...","77","36","2020-05-10 12:21","1.1","201","5.7","266","2020-05-10 13:38","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","996.9","...","998.7","2020-05-11 08:21","994.6","2020-05-11 16:41","29.4","36.5","2020-05-11 14:25","25.1","2020-05-11 05:31","...","79","43","2020-05-11 14:25","1.1","107","8.6","73","2020-05-11 16:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","997.2","...","999.1","2020-05-12 23:11","995.5","2020-05-12 15:11","27.6","33.6","2020-05-12 14:51","24.6","2020-05-12 23:56","...","90","52","2020-05-12 15:18","0.8","26","5.9","326","2020-05-12 15:37","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","999.3","...","1001.0","2020-05-13 21:41","998.0","2020-05-13 02:31","27.1","34.0","2020-05-13 13:31","24.1","2020-05-13 23:21","...","90","51","2020-05-13 13:31","1.0","108","4.3","236","2020-05-13 10:11","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","998.8","...","1000.6","2020-05-14 09:01","996.8","2020-05-14 17:16","28.4","35.8","2020-05-14 13:52","23.5","2020-05-14 04:54","...","75","40","2020-05-14 13:51","1.2","109","5.7","239","2020-05-14 14:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","996.0","...","997.8","2020-05-15 09:11","993.5","2020-05-15 15:31","29.1","38.7","2020-05-15 13:52","24.0","2020-05-15 05:21","...","74","37","2020-05-15 13:31","1.6","104","11.7","108","2020-05-15 15:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","994.8","...","997.0","2020-05-16 08:12","992.2","2020-05-16 15:41","29.7","37.8","2020-05-16 12:12","24.7","2020-05-16 03:38","...","72","31","2020-05-16 16:08","1.0","15","6.5","338","2020-05-16 16:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","992.1","...","994.5","2020-05-17 00:01","989.0","2020-05-17 16:13","29.2","36.7","2020-05-17 12:21","24.0","2020-05-17 03:42","...","76","33","2020-05-17 12:15","0.9","283","5.6","231","2020-05-17 16:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","992.7","...","994.5","2020-05-18 23:43","990.8","2020-05-18 02:55","29.0","36.2","2020-05-18 13:05","25.7","2020-05-18 05:22","...","77","37","2020-05-18 13:35","1.2","37","7.5","271","2020-05-18 14:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","994.6","...","996.1","2020-05-19 23:54","992.0","2020-05-19 05:43","25.4","30.7","2020-05-19 10:23","22.8","2020-05-19 14:59","...","88","51","2020-05-19 11:28","1.6","104","7.9","57","2020-05-19 15:56","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","996.0","...","997.6","2020-05-20 13:46","994.7","2020-05-20 03:17","25.3","31.1","2020-05-20 11:34","23.1","2020-05-20 18:24","...","93","62","2020-05-20 11:34","1.5","103","8.6","227","2020-05-20 13:44","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","994.8","...","996.1","2020-05-21 07:41","993.5","2020-05-21 23:51","24.6","26.2","2020-05-21 11:31","23.5","2020-05-21 05:41","...","98","98","2020-05-21 13:57","1.1","106","5.8","92","2020-05-21 20:30","61.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","992.5","...","994.7","2020-05-22 11:06","990.2","2020-05-22 15:09","24.0","26.1","2020-05-22 15:12","23.0","2020-05-22 05:53","...","97","97","2020-05-22 11:46","0.9","98","10.7","277","2020-05-22 10:53","466.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","992.9","...","995.0","2020-05-23 22:07","990.6","2020-05-23 01:33","25.5","28.2","2020-05-23 13:42","24.0","2020-05-23 00:55","...","98","97","2020-05-23 23:04","0.6","65","7.3","237","2020-05-23 01:57","54.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","995.9","...","998.2","2020-05-24 22:41","993.8","2020-05-24 00:58","26.9","33.3","2020-05-24 12:22","24.0","2020-05-24 05:12","...","95","61","2020-05-24 13:11","0.6","55","6.5","242","2020-05-24 14:16","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","997.5","...","998.8","2020-05-25 23:51","996.1","2020-05-25 15:11","28.2","33.3","2020-05-25 13:33","24.5","2020-05-25 04:13","...","86","56","2020-05-25 16:13","0.8","74","4.5","223","2020-05-25 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","997.1","...","998.7","2020-05-26 00:03","995.5","2020-05-26 18:13","26.5","31.0","2020-05-26 16:41","24.0","2020-05-26 03:21","...","99","98","2020-05-26 01:03","0.8","106","5.5","153","2020-05-26 05:27","36.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","997.0","...","999.1","2020-05-27 10:37","995.0","2020-05-27 03:22","25.2","29.1","2020-05-27 16:25","23.3","2020-05-27 11:37","...","98","97","2020-05-27 02:54","0.6","25","5.7","74","2020-05-27 02:11","66.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","998.3","...","1000.0","2020-05-28 20:24","996.5","2020-05-28 15:33","26.9","33.5","2020-05-28 14:31","24.3","2020-05-28 07:54","...","91","58","2020-05-28 12:51","1.0","1","6.2","242","2020-05-28 15:07","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","998.8","...","1000.5","2020-05-29 22:24","996.5","2020-05-29 16:23","27.7","33.2","2020-05-29 10:37","24.6","2020-05-29 04:39","...","91","62","2020-05-29 10:51","1.1","105","7.3","255","2020-05-29 13:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","999.8","...","1001.0","2020-05-30 08:51","998.7","2020-05-30 02:45","28.5","34.8","2020-05-30 11:52","24.7","2020-05-30 03:41","...","84","46","2020-05-30 12:03","1.4","110","6.7","113","2020-05-30 21:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","999.3","...","1000.6","2020-05-31 06:41","996.8","2020-05-31 15:52","29.6","35.2","2020-05-31 11:44","25.2","2020-05-31 05:16","...","79","44","2020-05-31 11:22","1.2","289","5.6","124","2020-05-31 00:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
