"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.3","...","1014.1","2020-11-01 08:48","1010.3","2020-11-01 14:21","25.9","30.6","2020-11-01 12:06","21.6","2020-11-01 06:22","...","69","41","2020-11-01 12:34","1.5","57","7.3","296","2020-11-01 15:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1010.9","...","1012.2","2020-11-02 08:04","1008.3","2020-11-02 15:51","26.6","31.9","2020-11-02 12:12","22.0","2020-11-02 05:23","...","70","46","2020-11-02 12:12","1.7","3","7.3","297","2020-11-02 14:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.3","...","1013.8","2020-11-03 21:11","1010.3","2020-11-03 13:51","26.3","29.7","2020-11-03 12:01","23.4","2020-11-03 04:48","...","70","52","2020-11-03 13:47","1.5","33","7.0","238","2020-11-03 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.8","...","1015.1","2020-11-04 20:15","1012.0","2020-11-04 14:11","25.8","28.0","2020-11-04 14:21","23.9","2020-11-04 06:34","...","68","57","2020-11-04 21:11","1.4","56","7.1","299","2020-11-04 12:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1013.6","...","1015.7","2020-11-05 08:47","1011.6","2020-11-05 15:15","26.2","29.3","2020-11-05 13:43","23.8","2020-11-05 05:31","...","68","51","2020-11-05 12:41","1.3","44","7.9","299","2020-11-05 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1009.5","...","1013.2","2020-11-06 00:03","1005.4","2020-11-06 14:51","25.3","28.0","2020-11-06 11:02","23.3","2020-11-06 02:24","...","82","62","2020-11-06 11:02","1.8","1","12.0","98","2020-11-06 22:55","29.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1012.1","...","1014.2","2020-11-07 20:14","1009.8","2020-11-07 01:44","26.9","29.8","2020-11-07 14:51","24.3","2020-11-07 00:05","...","86","72","2020-11-07 15:31","3.1","9","13.6","189","2020-11-07 05:47","19.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1013.4","...","1015.7","2020-11-08 09:03","1011.5","2020-11-08 15:04","25.3","29.3","2020-11-08 13:11","23.0","2020-11-08 23:51","...","80","65","2020-11-08 12:43","1.2","9","5.3","305","2020-11-08 14:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1013.9","...","1015.7","2020-11-09 09:01","1012.4","2020-11-09 01:12","24.0","26.8","2020-11-09 12:21","22.0","2020-11-09 07:22","...","82","74","2020-11-09 13:14","1.3","23","5.3","28","2020-11-09 17:34","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.5","...","1016.9","2020-11-10 08:54","1014.2","2020-11-10 13:21","24.2","28.5","2020-11-10 12:42","21.3","2020-11-10 06:01","...","77","63","2020-11-10 14:21","1.2","35","5.1","297","2020-11-10 13:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1016.2","...","1017.7","2020-11-11 09:31","1014.9","2020-11-11 13:55","24.8","28.5","2020-11-11 13:01","21.3","2020-11-11 05:56","...","75","59","2020-11-11 14:01","1.3","58","6.8","314","2020-11-11 12:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1014.4","...","1016.1","2020-11-12 00:12","1012.8","2020-11-12 14:51","25.1","28.4","2020-11-12 10:53","21.8","2020-11-12 03:24","...","73","59","2020-11-12 11:00","1.0","61","5.7","305","2020-11-12 13:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1013.0","...","1014.4","2020-11-13 09:01","1011.7","2020-11-13 13:41","25.6","28.4","2020-11-13 13:03","23.9","2020-11-13 03:11","...","80","66","2020-11-13 12:42","0.8","56","4.0","52","2020-11-13 08:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1014.6","...","1016.6","2020-11-14 20:41","1012.5","2020-11-14 02:34","25.7","28.4","2020-11-14 12:51","23.3","2020-11-14 03:47","...","83","67","2020-11-14 15:03","0.9","59","4.3","300","2020-11-14 15:21","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1016.3","...","1017.7","2020-11-15 09:01","1015.1","2020-11-15 14:41","25.6","28.2","2020-11-15 13:14","23.7","2020-11-15 03:11","...","81","67","2020-11-15 14:14","1.2","53","5.2","301","2020-11-15 12:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1014.7","...","1016.4","2020-11-16 08:32","1012.5","2020-11-16 14:52","26.2","29.7","2020-11-16 13:21","23.1","2020-11-16 06:31","...","79","64","2020-11-16 13:52","1.2","58","7.1","278","2020-11-16 14:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1013.2","...","1014.5","2020-11-17 00:01","1011.6","2020-11-17 14:16","26.6","29.7","2020-11-17 10:51","23.8","2020-11-17 06:11","...","76","63","2020-11-17 14:16","1.1","55","6.6","300","2020-11-17 14:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1011.5","...","1013.4","2020-11-18 08:51","1009.2","2020-11-18 15:11","26.7","30.2","2020-11-18 14:23","23.1","2020-11-18 04:31","...","76","60","2020-11-18 12:01","1.3","57","8.2","317","2020-11-18 15:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1010.6","...","1012.4","2020-11-19 09:16","1008.7","2020-11-19 14:27","27.2","30.4","2020-11-19 09:58","23.6","2020-11-19 06:01","...","78","60","2020-11-19 09:35","1.3","46","5.9","320","2020-11-19 14:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1011.3","...","1012.7","2020-11-20 08:51","1009.6","2020-11-20 14:10","28.5","32.0","2020-11-20 12:21","25.3","2020-11-20 06:33","...","74","57","2020-11-20 12:26","1.2","55","5.5","214","2020-11-20 11:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1012.9","...","1014.7","2020-11-21 22:02","1011.1","2020-11-21 02:29","27.7","29.7","2020-11-21 13:31","26.8","2020-11-21 03:21","...","81","71","2020-11-21 13:31","1.4","295","5.0","232","2020-11-21 11:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1015.2","...","1016.8","2020-11-22 09:05","1013.5","2020-11-22 03:03","27.4","30.2","2020-11-22 12:03","25.5","2020-11-22 23:51","...","79","65","2020-11-22 11:54","1.1","53","6.2","242","2020-11-22 13:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1016.4","...","1017.7","2020-11-23 08:51","1014.9","2020-11-23 14:05","26.6","29.3","2020-11-23 14:11","24.0","2020-11-23 05:23","...","78","64","2020-11-23 14:11","1.2","56","6.1","251","2020-11-23 14:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
