"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.3","...","1002.7","2021-05-01 21:59","999.8","2021-05-01 03:15","25.9","33.2","2021-05-01 13:58","22.8","2021-05-01 04:41","...","71","37","2021-05-01 12:12","1.7","X","6.3","26","2021-05-01 06:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1003.5","...","1004.9","2021-05-02 22:39","1001.4","2021-05-02 02:04","26.3","30.8","2021-05-02 12:19","24.0","2021-05-02 05:05","...","80","63","2021-05-02 14:06","2.2","X","12.0","2","2021-05-02 21:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1003.8","...","1005.4","2021-05-03 08:40","1002.1","2021-05-03 16:40","25.2","26.4","2021-05-03 07:39","24.5","2021-05-03 05:17","...","88","80","2021-05-03 08:17","2.6","X","11.7","1","2021-05-03 09:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1002.3","...","1003.9","2021-05-04 08:56","1000.0","2021-05-04 16:29","27.4","33.3","2021-05-04 10:37","24.7","2021-05-04 01:53","...","85","65","2021-05-04 10:22","2.0","X","8.4","2","2021-05-04 01:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1002.0","...","1004.8","2021-05-05 22:30","999.6","2021-05-05 14:12","27.3","33.2","2021-05-05 10:34","23.8","2021-05-05 18:26","...","81","54","2021-05-05 11:27","5.2","X","18.1","360","2021-05-05 18:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.2","...","1005.7","2021-05-06 08:18","1002.6","2021-05-06 16:42","25.6","29.2","2021-05-06 13:20","23.2","2021-05-06 04:59","...","84","71","2021-05-06 13:23","4.6","X","15.1","2","2021-05-06 00:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1002.1","...","1004.6","2021-05-07 08:46","999.0","2021-05-07 16:04","27.8","33.9","2021-05-07 10:18","24.7","2021-05-07 03:55","...","81","61","2021-05-07 09:57","2.2","X","7.6","360","2021-05-07 01:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","999.3","...","1001.5","2021-05-08 00:01","996.5","2021-05-08 15:51","28.5","32.4","2021-05-08 09:06","25.2","2021-05-08 04:40","...","81","68","2021-05-08 10:40","1.8","X","8.2","19","2021-05-08 16:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.5","...","1000.4","2021-05-09 21:20","996.2","2021-05-09 16:12","28.4","34.7","2021-05-09 14:41","25.4","2021-05-09 04:11","...","79","52","2021-05-09 14:42","1.3","X","9.7","360","2021-05-09 15:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","998.9","...","1000.8","2021-05-10 08:45","996.9","2021-05-10 16:28","28.9","34.2","2021-05-10 12:28","25.0","2021-05-10 02:29","...","73","42","2021-05-10 14:25","1.8","X","9.2","19","2021-05-10 16:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","998.4","...","1000.3","2021-05-11 08:16","995.9","2021-05-11 16:12","28.6","34.7","2021-05-11 14:31","25.7","2021-05-11 23:29","...","77","46","2021-05-11 14:35","2.7","X","12.0","18","2021-05-11 16:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","998.1","...","1000.5","2021-05-12 22:03","995.4","2021-05-12 15:34","29.5","36.0","2021-05-12 11:54","24.9","2021-05-12 02:05","...","70","40","2021-05-12 11:55","2.1","X","11.4","25","2021-05-12 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","999.6","...","1001.3","2021-05-13 22:52","997.7","2021-05-13 15:19","29.2","34.5","2021-05-13 10:49","26.0","2021-05-13 01:55","...","80","63","2021-05-13 10:37","1.4","X","6.8","15","2021-05-13 12:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1000.6","...","1002.1","2021-05-14 08:32","999.3","2021-05-14 16:26","28.4","35.0","2021-05-14 14:11","25.8","2021-05-14 04:48","...","79","54","2021-05-14 15:05","3.1","X","6.7","360","2021-05-14 07:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1000.3","...","1001.9","2021-05-15 09:08","998.6","2021-05-15 16:14","29.5","38.0","2021-05-15 13:02","26.4","2021-05-15 01:23","...","78","53","2021-05-15 13:04","2.0","X","6.0","27","2021-05-15 01:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","999.5","...","1001.7","2021-05-16 08:39","996.6","2021-05-16 15:42","29.1","34.0","2021-05-16 09:21","26.0","2021-05-16 01:41","...","81","65","2021-05-16 09:22","1.8","X","9.6","17","2021-05-16 16:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","999.6","...","1000.9","2021-05-17 22:30","997.2","2021-05-17 15:56","29.2","35.5","2021-05-17 12:45","26.7","2021-05-17 23:59","...","77","49","2021-05-17 12:47","2.4","207","12.0","217","2021-05-17 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","999.9","...","1001.7","2021-05-18 09:19","997.6","2021-05-18 16:59","29.1","33.6","2021-05-18 09:59","26.0","2021-05-18 04:14","...","81","64","2021-05-18 09:59","1.7","178","7.0","194","2021-05-18 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","999.3","...","1000.9","2021-05-19 09:10","997.3","2021-05-19 16:16","29.9","37.7","2021-05-19 11:54","26.4","2021-05-19 05:10","...","81","56","2021-05-19 11:55","1.6","192","5.2","174","2021-05-19 15:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","998.8","...","1000.1","2021-05-20 00:04","996.3","2021-05-20 15:32","29.3","34.3","2021-05-20 12:41","26.2","2021-05-20 04:24","...","76","47","2021-05-20 13:39","2.5","182","11.6","220","2021-05-20 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","997.7","...","999.5","2021-05-21 08:43","995.0","2021-05-21 16:56","30.0","35.2","2021-05-21 12:00","26.1","2021-05-21 02:24","...","70","48","2021-05-21 13:24","2.8","219","11.6","209","2021-05-21 13:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","996.9","...","998.7","2021-05-22 22:34","994.2","2021-05-22 16:05","30.1","35.5","2021-05-22 11:06","26.6","2021-05-22 02:31","...","70","47","2021-05-22 11:11","2.8","216","12.2","283","2021-05-22 17:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","997.9","...","1000.0","2021-05-23 22:05","996.4","2021-05-23 15:28","29.0","33.3","2021-05-23 15:51","26.9","2021-05-23 04:10","...","80","62","2021-05-23 15:31","2.6","230","8.8","229","2021-05-23 15:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","999.0","...","1000.9","2021-05-24 23:07","996.5","2021-05-24 15:48","30.3","36.2","2021-05-24 11:15","27.2","2021-05-24 02:06","...","70","45","2021-05-24 11:56","2.5","216","11.6","215","2021-05-24 13:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1000.0","...","1001.8","2021-05-25 09:57","998.4","2021-05-25 15:37","27.5","29.8","2021-05-25 13:34","25.6","2021-05-25 03:25","...","86","76","2021-05-25 09:18","3.7","348","14.0","354","2021-05-25 01:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","999.1","...","1001.3","2021-05-26 08:18","997.1","2021-05-26 15:24","29.5","35.4","2021-05-26 10:55","25.9","2021-05-26 04:07","...","76","55","2021-05-26 14:09","2.5","191","9.7","204","2021-05-26 14:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","997.5","...","999.1","2021-05-27 08:45","995.2","2021-05-27 15:37","30.4","35.0","2021-05-27 12:56","27.4","2021-05-27 02:32","...","67","50","2021-05-27 10:35","4.1","209","16.9","249","2021-05-27 19:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","997.8","...","999.7","2021-05-28 08:56","996.1","2021-05-28 15:23","30.6","34.9","2021-05-28 13:01","27.5","2021-05-28 23:36","...","66","52","2021-05-28 11:52","2.5","250","14.2","269","2021-05-28 10:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","996.4","...","998.1","2021-05-29 06:11","994.2","2021-05-29 15:52","30.0","35.5","2021-05-29 12:03","26.2","2021-05-29 05:24","...","71","45","2021-05-29 12:04","2.4","272","12.8","283","2021-05-29 21:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","994.2","...","995.9","2021-05-30 08:33","992.1","2021-05-30 15:06","29.0","31.0","2021-05-30 13:18","25.5","2021-05-30 23:32","...","73","64","2021-05-30 10:46","3.3","254","12.5","272","2021-05-30 12:04","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","995.0","...","997.7","2021-05-31 22:22","992.7","2021-05-31 03:28","26.9","30.5","2021-05-31 12:37","25.4","2021-05-31 01:14","...","87","67","2021-05-31 12:34","3.4","125","10.6","9","2021-05-31 20:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
