"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","928.4","...","929.9","2020-11-01 09:21","927.0","2020-11-01 14:52","20.8","24.3","2020-11-01 13:12","18.5","2020-11-01 01:41","...","78","63","2020-11-01 09:21","1.1","53","6.2","257","2020-11-01 14:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","927.4","...","928.8","2020-11-02 20:31","925.7","2020-11-02 15:53","21.5","25.0","2020-11-02 13:01","19.6","2020-11-02 03:07","...","82","66","2020-11-02 13:06","1.1","9","6.1","255","2020-11-02 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","928.5","...","929.9","2020-11-03 09:34","927.0","2020-11-03 13:51","20.7","24.7","2020-11-03 13:01","18.5","2020-11-03 23:27","...","89","69","2020-11-03 12:08","1.2","36","5.7","231","2020-11-03 11:18","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","929.6","...","930.8","2020-11-04 22:01","928.0","2020-11-04 14:31","19.3","21.7","2020-11-04 08:21","18.0","2020-11-04 19:04","...","90","76","2020-11-04 08:23","1.0","27","4.2","261","2020-11-04 12:46","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","929.6","...","931.4","2020-11-05 08:54","928.2","2020-11-05 15:02","20.5","24.3","2020-11-05 11:51","17.5","2020-11-05 00:36","...","86","69","2020-11-05 12:03","0.8","5","4.4","236","2020-11-05 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","925.8","...","929.2","2020-11-06 00:01","921.6","2020-11-06 13:03","20.9","27.0","2020-11-06 11:41","19.0","2020-11-06 07:42","...","90","52","2020-11-06 11:58","2.0","1","17.1","81","2020-11-06 12:53","78.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","928.6","...","930.4","2020-11-07 19:57","926.2","2020-11-07 00:11","22.6","26.5","2020-11-07 13:02","20.5","2020-11-07 00:01","...","93","76","2020-11-07 10:12","1.7","4","6.6","285","2020-11-07 02:53","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","929.4","...","931.2","2020-11-08 09:11","928.1","2020-11-08 15:02","21.2","24.0","2020-11-08 14:01","19.7","2020-11-08 23:56","...","98","93","2020-11-08 04:26","0.9","274","3.9","285","2020-11-08 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","929.5","...","931.1","2020-11-09 09:07","928.1","2020-11-09 03:21","19.9","21.1","2020-11-09 12:01","19.0","2020-11-09 07:07","...","98","92","2020-11-09 14:34","0.9","255","3.3","250","2020-11-09 12:31","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","931.0","...","932.2","2020-11-10 09:32","929.7","2020-11-10 03:11","19.9","21.8","2020-11-10 12:22","18.6","2020-11-10 23:58","...","95","89","2020-11-10 06:02","0.9","4","3.6","287","2020-11-10 22:33","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","931.7","...","933.1","2020-11-11 09:41","930.6","2020-11-11 04:01","19.8","23.5","2020-11-11 12:44","18.5","2020-11-11 03:16","...","94","80","2020-11-11 12:51","1.1","285","5.7","13","2020-11-11 23:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","930.2","...","931.6","2020-11-12 00:03","929.0","2020-11-12 04:16","20.3","23.3","2020-11-12 10:41","19.0","2020-11-12 00:11","...","90","74","2020-11-12 10:41","1.2","18","4.9","263","2020-11-12 11:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","929.2","...","930.3","2020-11-13 08:51","928.0","2020-11-13 02:52","22.2","24.5","2020-11-13 11:43","19.5","2020-11-13 00:52","...","83","70","2020-11-13 21:12","1.1","12","4.8","19","2020-11-13 22:52","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","930.7","...","932.6","2020-11-14 20:45","928.5","2020-11-14 02:21","21.2","22.7","2020-11-14 00:42","20.0","2020-11-14 04:03","...","94","77","2020-11-14 00:42","0.7","31","3.0","265","2020-11-14 03:59","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","932.0","...","933.4","2020-11-15 09:05","931.0","2020-11-15 02:52","20.5","21.8","2020-11-15 12:12","19.5","2020-11-15 23:41","...","96","90","2020-11-15 20:19","1.0","41","3.2","250","2020-11-15 10:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","930.8","...","932.1","2020-11-16 09:05","929.3","2020-11-16 14:28","21.2","25.5","2020-11-16 12:51","19.0","2020-11-16 03:36","...","92","78","2020-11-16 12:51","1.1","283","4.1","207","2020-11-16 13:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","929.5","...","930.7","2020-11-17 00:01","928.5","2020-11-17 15:43","21.5","24.7","2020-11-17 12:54","19.8","2020-11-17 02:03","...","93","78","2020-11-17 13:01","1.1","13","6.0","227","2020-11-17 12:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","928.1","...","929.5","2020-11-18 08:53","926.6","2020-11-18 15:05","22.3","25.2","2020-11-18 15:27","20.3","2020-11-18 03:51","...","89","79","2020-11-18 15:24","0.9","206","5.9","221","2020-11-18 12:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","927.6","...","929.0","2020-11-19 09:07","926.1","2020-11-19 15:02","23.0","26.5","2020-11-19 13:03","21.5","2020-11-19 02:51","...","89","75","2020-11-19 08:43","1.1","254","5.5","249","2020-11-19 12:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","928.4","...","929.8","2020-11-20 09:09","927.2","2020-11-20 02:11","23.5","26.6","2020-11-20 12:33","22.0","2020-11-20 02:09","...","89","73","2020-11-20 12:33","1.2","72","4.7","230","2020-11-20 10:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","929.6","...","931.2","2020-11-21 21:51","928.0","2020-11-21 02:01","22.3","23.7","2020-11-21 10:42","21.6","2020-11-21 21:35","...","96","90","2020-11-21 00:01","0.9","291","3.5","283","2020-11-21 15:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","931.6","...","933.0","2020-11-22 09:21","929.9","2020-11-22 02:51","22.2","25.1","2020-11-22 13:02","21.0","2020-11-22 04:54","...","96","83","2020-11-22 13:02","1.1","254","6.3","251","2020-11-22 13:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","932.3","...","933.6","2020-11-23 09:51","931.3","2020-11-23 03:52","20.9","23.6","2020-11-23 11:41","20.0","2020-11-23 22:04","...","98","84","2020-11-23 11:41","1.3","293","5.2","232","2020-11-23 12:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","932.4","...","933.9","2020-11-24 08:37","930.8","2020-11-24 14:35","20.1","21.8","2020-11-24 11:25","19.3","2020-11-24 16:51","...","97","86","2020-11-24 11:32","1.0","10","5.7","25","2020-11-24 03:50","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","931.8","...","933.1","2020-11-25 09:16","930.2","2020-11-25 14:51","20.6","24.0","2020-11-25 12:12","19.3","2020-11-25 23:03","...","92","77","2020-11-25 12:21","1.1","20","5.5","226","2020-11-25 13:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","932.1","...","933.6","2020-11-26 09:14","930.7","2020-11-26 14:04","20.8","24.0","2020-11-26 12:51","19.1","2020-11-26 02:03","...","88","71","2020-11-26 11:32","1.1","18","4.7","222","2020-11-26 12:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","932.5","...","934.0","2020-11-27 08:54","931.0","2020-11-27 14:49","20.7","23.7","2020-11-27 12:32","19.2","2020-11-27 03:25","...","89","72","2020-11-27 13:12","1.3","284","5.6","247","2020-11-27 12:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","932.6","...","934.2","2020-11-28 09:32","931.0","2020-11-28 14:41","19.4","21.8","2020-11-28 10:21","18.2","2020-11-28 19:12","...","93","81","2020-11-28 10:31","1.0","223","4.7","223","2020-11-28 11:35","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","932.6","...","934.0","2020-11-29 10:15","931.3","2020-11-29 04:18","18.7","21.1","2020-11-29 09:23","17.5","2020-11-29 17:37","...","91","81","2020-11-29 10:07","0.9","250","4.4","248","2020-11-29 12:35","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","932.8","...","934.1","2020-11-30 09:41","931.3","2020-11-30 14:31","18.5","20.3","2020-11-30 12:14","17.6","2020-11-30 20:46","...","92","86","2020-11-30 10:27","1.0","295","5.1","222","2020-11-30 12:08","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
