"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","984.4","...","986.3","2020-05-01 08:52","982.6","2020-05-01 16:47","24.3","29.4","2020-05-01 10:08","22.1","2020-05-01 04:56","...","87","62","2020-05-01 10:36","1.2","36","6.6","117","2020-05-01 13:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","981.9","...","984.1","2020-05-02 09:02","980.0","2020-05-02 16:29","25.6","29.9","2020-05-02 13:20","22.9","2020-05-02 00:22","...","90","70","2020-05-02 11:25","1.1","185","6.3","147","2020-05-02 14:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","980.9","...","982.5","2020-05-03 21:49","979.1","2020-05-03 16:28","25.5","29.8","2020-05-03 10:25","23.3","2020-05-03 23:42","...","86","59","2020-05-03 09:55","1.3","306","10.5","273","2020-05-03 16:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","982.3","...","983.7","2020-05-04 21:52","980.7","2020-05-04 03:09","26.1","30.8","2020-05-04 10:13","23.1","2020-05-04 01:38","...","84","56","2020-05-04 10:13","0.9","296","6.8","274","2020-05-04 07:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","981.5","...","983.1","2020-05-05 10:06","979.6","2020-05-05 17:28","26.1","31.3","2020-05-05 13:58","22.6","2020-05-05 02:27","...","83","47","2020-05-05 13:00","1.2","301","8.1","278","2020-05-05 23:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","981.1","...","983.6","2020-05-06 21:48","978.6","2020-05-06 03:54","26.9","32.2","2020-05-06 11:56","23.8","2020-05-06 22:46","...","81","58","2020-05-06 11:51","1.0","298","9.4","268","2020-05-06 07:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","982.0","...","983.8","2020-05-07 10:01","980.7","2020-05-07 16:03","26.0","31.3","2020-05-07 15:10","23.7","2020-05-07 00:59","...","89","60","2020-05-07 15:20","0.7","309","5.6","286","2020-05-07 15:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","982.1","...","983.7","2020-05-08 10:00","980.5","2020-05-08 16:17","26.1","30.2","2020-05-08 12:31","23.3","2020-05-08 04:39","...","89","69","2020-05-08 11:37","1.0","189","6.9","195","2020-05-08 14:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","981.3","...","982.7","2020-05-09 09:03","979.6","2020-05-09 16:25","26.8","30.5","2020-05-09 14:13","24.8","2020-05-09 05:24","...","88","68","2020-05-09 14:19","1.3","299","8.7","283","2020-05-09 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","981.5","...","982.7","2020-05-10 08:17","980.0","2020-05-10 15:51","26.8","31.5","2020-05-10 11:51","24.9","2020-05-10 02:59","...","87","65","2020-05-10 12:17","1.1","301","7.9","284","2020-05-10 09:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","981.8","...","983.3","2020-05-11 09:02","979.9","2020-05-11 16:27","27.5","32.8","2020-05-11 13:48","24.3","2020-05-11 02:32","...","84","60","2020-05-11 14:02","0.5","8","7.0","267","2020-05-11 10:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
