"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.6","...","1015.4","2020-02-01 09:13","1011.4","2020-02-01 15:29","13.9","22.2","2020-02-01 14:48","7.4","2020-02-01 05:24","...","77","42","2020-02-01 14:51","0.8","76","6.0","284","2020-02-01 12:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.9","...","1016.5","2020-02-02 09:25","1011.6","2020-02-02 14:33","15.7","23.9","2020-02-02 14:22","8.3","2020-02-02 06:59","...","75","38","2020-02-02 15:26","0.7","260","4.7","291","2020-02-02 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.4","...","1014.5","2020-02-03 10:15","1010.5","2020-02-03 15:19","16.4","24.0","2020-02-03 13:01","10.3","2020-02-03 06:31","...","79","41","2020-02-03 12:57","0.6","21","6.2","9","2020-02-03 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1011.1","...","1012.7","2020-02-04 23:48","1009.2","2020-02-04 15:04","16.9","22.6","2020-02-04 13:04","12.5","2020-02-04 03:26","...","84","57","2020-02-04 13:00","0.9","6","7.1","21","2020-02-04 13:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1011.3","...","1012.8","2020-02-05 23:18","1008.8","2020-02-05 15:33","17.5","23.6","2020-02-05 13:44","12.9","2020-02-05 23:48","...","83","59","2020-02-05 13:32","0.8","22","5.2","291","2020-02-05 15:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1010.9","...","1012.6","2020-02-07 00:00","1008.6","2020-02-06 15:41","17.1","23.7","2020-02-06 11:32","11.3","2020-02-06 07:15","...","84","60","2020-02-06 11:42","0.6","17","5.1","294","2020-02-06 11:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1011.9","...","1013.8","2020-02-07 09:45","1009.8","2020-02-07 14:49","18.0","25.0","2020-02-07 13:33","14.9","2020-02-07 20:53","...","84","57","2020-02-07 13:38","1.1","25","6.5","20","2020-02-07 15:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1013.7","...","1016.2","2020-02-08 22:06","1011.6","2020-02-08 15:20","16.9","23.1","2020-02-08 14:05","12.8","2020-02-08 23:37","...","79","53","2020-02-08 14:06","0.9","18","6.1","341","2020-02-08 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.2","...","1017.7","2020-02-09 09:59","1012.8","2020-02-09 14:56","16.1","21.3","2020-02-09 14:37","12.2","2020-02-09 05:37","...","79","60","2020-02-09 15:04","0.6","7","5.5","15","2020-02-09 12:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1013.8","...","1015.0","2020-02-10 21:21","1012.6","2020-02-10 16:01","16.4","20.9","2020-02-10 15:47","14.8","2020-02-10 20:21","...","83","61","2020-02-10 15:47","0.5","273","3.8","30","2020-02-10 16:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
