"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.3","...","1012.0","2020-04-01 21:42","1007.2","2020-04-01 02:41","26.4","30.5","2020-04-01 11:52","23.4","2020-04-01 23:43","...","70","53","2020-04-01 10:42","1.9","242","8.1","271","2020-04-01 12:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1012.7","...","1015.8","2020-04-02 10:11","1010.0","2020-04-02 02:55","23.5","26.8","2020-04-02 14:44","20.9","2020-04-02 10:51","...","75","60","2020-04-02 14:21","1.3","314","5.2","295","2020-04-02 17:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.4","...","1014.0","2020-04-03 07:13","1010.0","2020-04-03 15:11","24.4","29.1","2020-04-03 13:54","20.7","2020-04-03 05:51","...","75","55","2020-04-03 14:24","1.4","316","6.4","315","2020-04-03 16:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1012.1","...","1014.3","2020-04-04 08:41","1010.0","2020-04-04 16:03","24.6","30.2","2020-04-04 12:45","20.3","2020-04-04 23:53","...","70","44","2020-04-04 14:52","1.5","319","9.1","295","2020-04-04 12:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1012.8","...","1014.6","2020-04-05 09:43","1010.9","2020-04-05 15:01","23.1","28.4","2020-04-05 12:53","18.8","2020-04-05 04:31","...","69","46","2020-04-05 14:42","1.5","323","6.8","238","2020-04-05 14:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1011.1","...","1013.5","2020-04-06 09:22","1008.2","2020-04-06 17:13","21.6","23.9","2020-04-06 14:54","19.6","2020-04-06 22:33","...","82","71","2020-04-06 01:03","1.2","33","3.8","305","2020-04-06 15:55","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.3","...","1010.8","2020-04-07 22:21","1007.2","2020-04-07 16:32","22.4","27.5","2020-04-07 15:05","19.1","2020-04-07 04:41","...","79","58","2020-04-07 13:01","1.4","8","6.6","31","2020-04-07 00:40","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.5","...","1012.6","2020-04-08 21:42","1008.4","2020-04-08 14:47","23.0","28.4","2020-04-08 12:01","17.7","2020-04-08 05:22","...","72","49","2020-04-08 12:02","1.3","321","5.4","295","2020-04-08 12:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1011.7","...","1013.5","2020-04-09 23:01","1010.1","2020-04-09 15:02","24.5","29.8","2020-04-09 12:31","20.5","2020-04-09 06:21","...","70","41","2020-04-09 12:24","1.3","5","7.2","182","2020-04-09 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
