"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.3","...","1009.7","2021-06-01 22:40","1007.0","2021-06-01 02:57","28.8","32.9","2021-06-01 10:01","25.3","2021-06-01 06:11","...","82","66","2021-06-01 10:02","1.7","75","6.4","75","2021-06-01 00:57","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1009.1","...","1010.7","2021-06-02 22:06","1007.2","2021-06-02 15:04","29.4","35.6","2021-06-02 12:16","25.5","2021-06-02 04:30","...","79","51","2021-06-02 12:16","1.4","107","6.8","229","2021-06-02 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.7","...","1009.6","2021-06-03 00:01","1005.7","2021-06-03 16:13","31.4","37.6","2021-06-03 12:51","26.3","2021-06-03 02:38","...","70","46","2021-06-03 12:40","1.9","90","9.6","69","2021-06-03 09:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.2","...","1007.5","2021-06-04 00:01","1001.5","2021-06-04 18:29","29.4","34.2","2021-06-04 13:19","26.6","2021-06-04 18:25","...","79","55","2021-06-04 13:20","1.8","183","9.6","189","2021-06-04 14:49","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.7","...","1008.1","2021-06-05 09:09","1003.7","2021-06-05 03:25","26.2","28.3","2021-06-05 23:55","23.7","2021-06-05 08:53","...","92","82","2021-06-05 01:13","1.8","217","10.3","1","2021-06-05 07:40","131.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.5","...","1009.6","2021-06-06 22:48","1004.9","2021-06-06 04:44","26.1","28.2","2021-06-06 00:01","24.4","2021-06-06 14:07","...","91","75","2021-06-06 20:57","1.4","74","11.1","229","2021-06-06 04:50","39.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1010.3","...","1012.0","2021-06-07 23:20","1008.6","2021-06-07 00:49","27.5","31.9","2021-06-07 15:03","24.5","2021-06-07 00:49","...","83","67","2021-06-07 09:36","1.9","74","8.7","81","2021-06-07 16:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.7","...","1012.3","2021-06-08 09:16","1008.9","2021-06-08 16:24","27.7","31.5","2021-06-08 13:01","25.0","2021-06-08 04:06","...","80","69","2021-06-08 17:05","4.0","71","11.0","83","2021-06-08 12:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1009.2","...","1011.1","2021-06-09 00:01","1007.1","2021-06-09 15:59","28.9","33.3","2021-06-09 12:20","24.9","2021-06-09 04:55","...","78","61","2021-06-09 10:12","3.8","75","11.7","76","2021-06-09 15:02","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
