"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","934.0","...","936.0","2020-04-01 21:43","932.2","2020-04-01 03:33","22.1","26.8","2020-04-01 11:51","18.1","2020-04-01 23:52","...","77","52","2020-04-01 01:26","1.1","332","6.6","322","2020-04-01 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","936.3","...","938.7","2020-04-02 10:12","934.0","2020-04-02 02:31","17.9","21.6","2020-04-02 14:39","16.3","2020-04-02 11:13","...","98","83","2020-04-02 23:07","0.8","327","5.6","310","2020-04-02 18:21","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","936.3","...","937.6","2020-04-03 08:41","934.6","2020-04-03 15:54","18.5","22.5","2020-04-03 10:45","16.5","2020-04-03 03:53","...","94","80","2020-04-03 10:51","0.9","130","5.6","1","2020-04-03 11:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","936.0","...","937.8","2020-04-04 08:42","934.8","2020-04-04 16:23","19.6","24.7","2020-04-04 11:55","17.1","2020-04-04 01:31","...","85","66","2020-04-04 12:11","1.1","333","10.1","351","2020-04-04 12:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","936.4","...","938.0","2020-04-05 09:27","935.0","2020-04-05 03:37","18.2","22.7","2020-04-05 12:44","16.5","2020-04-05 04:31","...","91","72","2020-04-05 13:25","1.0","149","7.0","296","2020-04-05 16:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","934.5","...","936.8","2020-04-06 09:31","932.0","2020-04-06 17:21","16.7","19.2","2020-04-06 14:34","15.3","2020-04-06 23:45","...","97","86","2020-04-06 14:41","0.6","331","4.5","302","2020-04-06 22:50","22.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","932.9","...","934.3","2020-04-07 20:54","931.7","2020-04-07 15:13","17.2","22.2","2020-04-07 12:01","14.0","2020-04-07 04:48","...","97","81","2020-04-07 14:53","0.9","166","7.4","338","2020-04-07 02:18","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","934.1","...","936.2","2020-04-08 21:51","932.5","2020-04-08 02:47","18.3","23.0","2020-04-08 14:36","15.2","2020-04-08 04:11","...","94","71","2020-04-08 15:35","1.0","144","6.7","343","2020-04-08 12:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","935.5","...","937.3","2020-04-09 23:31","934.0","2020-04-09 03:25","19.3","23.5","2020-04-09 15:01","16.0","2020-04-09 03:31","...","87","64","2020-04-09 15:26","0.8","332","6.7","209","2020-04-09 14:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
