"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","987.5","...","988.8","2021-09-01 00:10","986.0","2021-09-01 16:15","26.6","29.9","2021-09-01 12:03","24.2","2021-09-01 01:46","...","91","81","2021-09-01 13:02","3.0","344","7.7","6","2021-09-01 00:05","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","986.2","...","987.9","2021-09-02 00:05","984.0","2021-09-02 17:30","27.2","31.8","2021-09-02 12:44","25.5","2021-09-02 04:51","...","88","74","2021-09-02 12:31","1.5","4","4.4","146","2021-09-02 12:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","984.7","...","986.2","2021-09-03 00:01","983.4","2021-09-03 16:22","27.2","30.5","2021-09-03 11:06","24.7","2021-09-03 05:28","...","87","71","2021-09-03 09:33","1.8","143","6.2","286","2021-09-03 21:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","985.6","...","987.5","2021-09-04 22:20","984.3","2021-09-04 03:05","27.0","30.0","2021-09-04 13:26","25.3","2021-09-04 02:10","...","87","77","2021-09-04 11:35","2.8","344","7.9","3","2021-09-04 21:51","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","986.7","...","989.3","2021-09-05 21:45","985.0","2021-09-05 03:52","25.8","28.0","2021-09-05 15:36","24.2","2021-09-05 11:19","...","90","77","2021-09-05 07:55","3.3","9","9.3","60","2021-09-05 10:34","24.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","988.0","...","989.9","2021-09-06 22:24","986.6","2021-09-06 14:35","26.9","30.1","2021-09-06 12:34","23.8","2021-09-06 02:34","...","92","80","2021-09-06 12:55","3.2","14","10.4","344","2021-09-06 02:37","17.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","987.5","...","989.0","2021-09-07 00:01","986.0","2021-09-07 17:11","27.0","30.3","2021-09-07 12:54","24.3","2021-09-07 00:59","...","90","79","2021-09-07 10:36","2.9","15","10.6","1","2021-09-07 00:53","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","986.2","...","987.8","2021-09-08 00:01","985.1","2021-09-08 14:37","27.0","29.4","2021-09-08 13:14","24.9","2021-09-08 06:05","...","88","78","2021-09-08 11:58","3.6","42","11.4","38","2021-09-08 23:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","986.3","...","987.5","2021-09-09 22:28","985.3","2021-09-09 16:02","27.1","29.3","2021-09-09 13:27","25.4","2021-09-09 20:47","...","88","77","2021-09-09 07:43","5.1","12","12.8","25","2021-09-09 01:53","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","984.2","...","986.6","2021-09-10 00:01","981.5","2021-09-10 23:49","27.4","29.3","2021-09-10 13:28","26.2","2021-09-10 05:53","...","89","82","2021-09-10 09:41","5.6","13","12.6","17","2021-09-10 19:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","976.1","...","981.6","2021-09-11 00:01","970.0","2021-09-11 23:59","24.7","27.3","2021-09-11 00:01","22.2","2021-09-11 11:05","...","93","81","2021-09-11 01:23","8.5","349","22.4","12","2021-09-11 12:41","114.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","973.3","...","980.6","2021-09-12 23:32","967.8","2021-09-12 03:55","26.3","27.4","2021-09-12 10:32","25.3","2021-09-12 12:35","...","89","80","2021-09-12 19:14","8.3","273","24.5","270","2021-09-12 16:50","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","983.3","...","987.1","2021-09-13 23:52","979.0","2021-09-13 02:57","26.4","29.4","2021-09-13 10:08","24.6","2021-09-13 11:04","...","91","81","2021-09-13 09:26","4.9","241","13.2","271","2021-09-13 02:59","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","987.1","...","988.6","2021-09-14 22:58","985.2","2021-09-14 17:04","27.8","30.5","2021-09-14 13:38","26.0","2021-09-14 00:01","...","86","72","2021-09-14 13:34","4.0","261","14.5","270","2021-09-14 17:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","987.1","...","988.7","2021-09-15 21:37","986.0","2021-09-15 15:20","27.3","29.9","2021-09-15 13:58","24.9","2021-09-15 19:38","...","87","76","2021-09-15 13:02","2.6","84","12.4","309","2021-09-15 01:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","986.0","...","987.5","2021-09-16 21:45","983.8","2021-09-16 15:41","26.5","30.8","2021-09-16 10:24","24.4","2021-09-16 22:23","...","92","76","2021-09-16 10:25","1.7","14","9.3","5","2021-09-16 21:42","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","986.9","...","988.8","2021-09-17 21:51","985.7","2021-09-17 03:56","26.9","30.1","2021-09-17 14:26","24.5","2021-09-17 00:01","...","88","74","2021-09-17 10:29","1.9","14","6.4","5","2021-09-17 22:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","988.6","...","990.3","2021-09-18 22:35","987.3","2021-09-18 04:06","27.0","29.4","2021-09-18 13:15","25.3","2021-09-18 04:15","...","90","82","2021-09-18 10:57","3.1","13","9.9","34","2021-09-18 23:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","988.7","...","989.8","2021-09-19 00:01","987.8","2021-09-19 17:22","26.6","29.6","2021-09-19 14:04","25.2","2021-09-19 03:41","...","90","81","2021-09-19 05:29","3.0","8","9.2","15","2021-09-19 00:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","987.7","...","989.2","2021-09-20 00:01","986.0","2021-09-20 15:23","27.6","31.3","2021-09-20 09:49","25.4","2021-09-20 04:04","...","89","73","2021-09-20 09:38","1.9","345","5.4","360","2021-09-20 00:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","986.6","...","988.2","2021-09-21 00:01","984.9","2021-09-21 14:24","27.5","31.2","2021-09-21 09:34","25.7","2021-09-21 03:12","...","88","72","2021-09-21 09:34","1.8","347","5.8","161","2021-09-21 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","988.5","...","991.3","2021-09-22 22:48","986.5","2021-09-22 03:48","27.4","30.1","2021-09-22 13:54","25.3","2021-09-22 06:28","...","91","80","2021-09-22 11:10","2.0","353","7.6","20","2021-09-22 19:17","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","990.9","...","992.1","2021-09-23 21:25","989.6","2021-09-23 03:46","26.8","29.4","2021-09-23 13:33","25.2","2021-09-23 03:24","...","91","80","2021-09-23 10:20","2.9","21","8.7","359","2021-09-23 21:36","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","990.5","...","991.9","2021-09-24 00:01","989.0","2021-09-24 15:19","26.8","29.1","2021-09-24 12:04","24.9","2021-09-24 22:20","...","90","83","2021-09-24 11:19","4.8","14","12.9","24","2021-09-24 20:13","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","988.9","...","990.1","2021-09-25 00:01","987.9","2021-09-25 14:28","26.6","28.7","2021-09-25 13:37","25.6","2021-09-25 04:35","...","87","81","2021-09-25 22:50","5.6","9","12.1","12","2021-09-25 19:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","987.8","...","988.9","2021-09-26 10:03","986.5","2021-09-26 14:44","26.6","28.7","2021-09-26 13:12","25.2","2021-09-26 05:37","...","83","74","2021-09-26 14:25","5.2","6","12.1","1","2021-09-26 00:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","986.3","...","987.6","2021-09-27 00:04","984.9","2021-09-27 14:40","26.6","29.2","2021-09-27 11:38","23.7","2021-09-27 20:24","...","86","77","2021-09-27 11:09","4.3","13","10.4","4","2021-09-27 02:58","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
