"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.2","...","1007.5","2020-05-01 08:33","1002.7","2020-05-01 16:01","25.8","32.1","2020-05-01 14:31","19.7","2020-05-01 03:48","...","66","42","2020-05-01 12:12","1.5","311","7.0","308","2020-05-01 14:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1002.7","...","1004.9","2020-05-02 08:07","1000.8","2020-05-02 15:24","27.4","33.8","2020-05-02 11:21","22.0","2020-05-02 01:02","...","74","43","2020-05-02 11:21","1.3","152","7.0","215","2020-05-02 14:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1002.0","...","1003.7","2020-05-03 22:46","1000.4","2020-05-03 16:32","26.8","32.0","2020-05-03 11:14","22.5","2020-05-03 04:32","...","83","60","2020-05-03 16:24","1.3","147","6.9","260","2020-05-03 12:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1003.4","...","1004.7","2020-05-04 08:23","1002.1","2020-05-04 16:33","27.7","33.0","2020-05-04 11:52","23.5","2020-05-04 04:51","...","77","44","2020-05-04 14:31","1.0","231","6.2","314","2020-05-04 13:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1002.7","...","1003.9","2020-05-05 21:59","1001.0","2020-05-05 16:44","27.5","33.6","2020-05-05 10:43","22.6","2020-05-05 06:03","...","80","48","2020-05-05 10:43","1.3","34","8.1","259","2020-05-05 13:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1002.6","...","1004.2","2020-05-06 20:11","1000.9","2020-05-06 15:22","27.6","33.2","2020-05-06 13:31","22.0","2020-05-06 05:21","...","79","52","2020-05-06 13:31","1.1","141","6.3","241","2020-05-06 11:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1003.0","...","1004.3","2020-05-07 07:52","1001.4","2020-05-07 15:41","28.6","34.0","2020-05-07 12:01","24.0","2020-05-07 05:47","...","75","47","2020-05-07 14:33","1.3","132","6.6","274","2020-05-07 14:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1002.8","...","1004.3","2020-05-08 08:52","1001.1","2020-05-08 16:01","28.6","34.0","2020-05-08 10:47","24.0","2020-05-08 05:44","...","77","51","2020-05-08 10:50","1.1","227","6.4","254","2020-05-08 14:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1002.7","...","1004.1","2020-05-09 09:42","1001.1","2020-05-09 16:51","28.2","33.0","2020-05-09 13:24","23.3","2020-05-09 05:21","...","79","54","2020-05-09 15:31","1.4","270","7.2","293","2020-05-09 14:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
