"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","928.5","...","929.8","2021-06-01 20:33","927.3","2021-06-01 08:14","23.0","30.5","2021-06-01 11:51","20.3","2021-06-01 01:21","...","85","52","2021-06-01 11:51","0.6","46","8.8","212","2021-06-01 13:28","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","929.0","...","930.5","2021-06-02 21:34","927.0","2021-06-02 14:21","25.7","33.5","2021-06-02 13:03","19.3","2021-06-02 04:12","...","72","28","2021-06-02 12:49","1.3","199","7.6","195","2021-06-02 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","927.7","...","930.0","2021-06-03 00:01","925.0","2021-06-03 15:52","26.7","33.0","2021-06-03 14:02","19.2","2021-06-03 04:47","...","62","31","2021-06-03 09:04","1.5","59","8.4","201","2021-06-03 12:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","925.2","...","...","...","...","...","26.3","...","...","...","...","...","75","...","...","1.6","197","...","...","...","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","926.4","...","...","...","...","...","21.1","...","...","...","...","...","95","...","...","0.3","194","...","...","...","106.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","186.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","930.2","...","931.7","2021-06-08 00:01","928.9","2021-06-08 15:35","22.6","30.0","2021-06-08 13:21","19.0","2021-06-08 05:35","...","83","49","2021-06-08 09:04","0.9","65","7.4","221","2021-06-08 13:41","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","928.9","...","930.0","2021-06-09 22:34","926.8","2021-06-09 16:01","22.3","31.3","2021-06-09 13:25","21.3","2021-06-09 23:36","...","90","46","2021-06-09 11:52","0.5","45","6.5","212","2021-06-09 12:23","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","927.7","...","929.8","2021-06-10 00:03","926.0","2021-06-10 15:55","23.8","30.0","2021-06-10 12:41","19.5","2021-06-10 04:41","...","84","55","2021-06-10 11:47","0.8","57","7.4","201","2021-06-10 13:55","14.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","928.5","...","931.6","2021-06-11 22:31","927.0","2021-06-11 14:02","25.2","31.2","2021-06-11 13:54","20.6","2021-06-11 05:21","...","80","55","2021-06-11 10:25","1.1","48","8.3","218","2021-06-11 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","931.0","...","933.0","2021-06-12 22:31","929.3","2021-06-12 14:47","24.4","31.5","2021-06-12 12:41","21.5","2021-06-12 23:21","...","83","51","2021-06-12 12:41","0.9","68","8.2","212","2021-06-12 15:34","28.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","930.8","...","933.0","2021-06-13 00:01","927.4","2021-06-13 16:51","24.6","32.2","2021-06-13 14:42","20.0","2021-06-13 04:31","...","79","46","2021-06-13 11:07","1.0","56","9.6","202","2021-06-13 17:50","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","927.9","...","930.5","2021-06-14 00:01","925.7","2021-06-14 17:03","25.4","30.7","2021-06-14 13:31","19.5","2021-06-14 05:23","...","76","56","2021-06-14 12:22","1.3","217","8.3","213","2021-06-14 14:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","926.6","...","927.8","2021-06-15 21:21","925.1","2021-06-15 05:19","25.3","30.1","2021-06-15 12:21","20.8","2021-06-15 05:11","...","76","46","2021-06-15 08:31","1.3","61","8.8","204","2021-06-15 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","928.8","...","930.8","2021-06-16 22:11","925.8","2021-06-16 01:11","23.3","28.7","2021-06-16 12:42","20.0","2021-06-16 23:51","...","84","57","2021-06-16 08:36","0.7","61","7.5","214","2021-06-16 13:41","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","929.9","...","930.9","2021-06-17 21:34","928.6","2021-06-17 13:41","23.1","30.3","2021-06-17 11:21","18.7","2021-06-17 05:06","...","84","53","2021-06-17 11:11","0.9","223","7.9","218","2021-06-17 12:34","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","928.6","...","930.0","2021-06-18 00:01","926.5","2021-06-18 14:31","23.7","30.5","2021-06-18 12:15","19.0","2021-06-18 03:21","...","82","56","2021-06-18 12:51","1.0","223","7.8","260","2021-06-18 13:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","927.1","...","928.5","2021-06-19 00:01","926.0","2021-06-19 16:41","22.8","29.0","2021-06-19 10:54","20.5","2021-06-19 23:41","...","89","59","2021-06-19 11:07","0.5","167","7.4","216","2021-06-19 12:01","23.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","925.6","...","927.0","2021-06-20 11:11","924.3","2021-06-20 17:04","22.1","25.1","2021-06-20 13:37","19.8","2021-06-20 04:01","...","91","73","2021-06-20 08:21","0.3","44","2.6","202","2021-06-20 15:17","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","926.2","...","927.4","2021-06-21 06:31","924.4","2021-06-21 03:15","21.9","24.2","2021-06-21 09:12","20.0","2021-06-21 06:03","...","91","80","2021-06-21 09:21","0.1","69","3.8","64","2021-06-21 23:49","25.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","927.0","...","928.9","2021-06-22 21:01","925.1","2021-06-22 04:35","21.7","25.8","2021-06-22 12:14","20.7","2021-06-22 03:58","...","92","75","2021-06-22 12:31","0.6","51","7.3","203","2021-06-22 17:50","42.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","928.2","...","929.8","2021-06-23 22:21","926.8","2021-06-23 17:21","21.8","24.5","2021-06-23 16:47","20.2","2021-06-23 04:31","...","93","83","2021-06-23 16:41","0.4","196","4.8","210","2021-06-23 18:40","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","928.1","...","929.7","2021-06-24 22:51","926.4","2021-06-24 16:12","22.8","28.1","2021-06-24 13:21","20.5","2021-06-24 04:15","...","86","59","2021-06-24 13:26","0.9","230","8.3","220","2021-06-24 14:25","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","928.4","...","930.4","2021-06-25 22:57","926.9","2021-06-25 16:11","22.7","27.7","2021-06-25 10:32","20.3","2021-06-25 04:05","...","87","61","2021-06-25 10:34","0.8","147","7.9","196","2021-06-25 11:03","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
