"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.6","...","1011.1","2020-06-01 07:14","1007.3","2020-06-01 16:14","30.3","33.9","2020-06-01 12:45","27.0","2020-06-01 05:21","...","76","52","2020-06-01 12:01","1.0","50","6.9","280","2020-06-01 14:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1008.5","...","1010.2","2020-06-02 00:01","1006.5","2020-06-02 16:01","30.3","33.7","2020-06-02 13:12","26.8","2020-06-02 04:51","...","77","57","2020-06-02 12:24","1.3","49","6.5","231","2020-06-02 16:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.8","...","1009.5","2020-06-03 09:24","1005.5","2020-06-03 16:51","30.5","34.0","2020-06-03 14:07","27.0","2020-06-03 04:53","...","73","54","2020-06-03 14:21","1.3","266","6.2","244","2020-06-03 12:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.4","...","1009.0","2020-06-04 09:51","1006.0","2020-06-04 03:06","30.7","34.6","2020-06-04 13:01","27.0","2020-06-04 04:51","...","71","47","2020-06-04 12:02","1.2","266","6.1","239","2020-06-04 11:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1007.1","...","1008.5","2020-06-05 22:22","1005.3","2020-06-05 16:51","30.3","34.5","2020-06-05 10:52","27.0","2020-06-05 05:10","...","74","54","2020-06-05 11:23","1.4","200","8.3","239","2020-06-05 11:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.4","...","1007.7","2020-06-06 23:06","1005.1","2020-06-06 03:56","29.5","34.1","2020-06-06 11:51","26.7","2020-06-06 17:04","...","80","57","2020-06-06 12:16","1.3","136","8.9","243","2020-06-06 12:38","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.3","...","1007.1","2020-06-07 19:33","1005.1","2020-06-07 14:03","28.9","33.6","2020-06-07 14:03","25.5","2020-06-07 19:33","...","76","52","2020-06-07 08:47","1.6","86","11.3","293","2020-06-07 16:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.1","...","1008.8","2020-06-08 17:46","1004.6","2020-06-08 04:03","27.3","32.3","2020-06-08 10:42","24.4","2020-06-08 15:09","...","83","67","2020-06-08 10:42","1.3","112","9.3","231","2020-06-08 13:43","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.2","...","1009.5","2020-06-09 22:03","1006.7","2020-06-09 02:54","28.2","32.9","2020-06-09 11:21","25.1","2020-06-09 00:52","...","79","59","2020-06-09 11:25","1.0","110","5.5","237","2020-06-09 12:36","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1008.0","...","1009.5","2020-06-10 00:01","1006.3","2020-06-10 16:01","30.0","34.8","2020-06-10 10:52","25.7","2020-06-10 05:08","...","73","54","2020-06-10 15:02","1.4","104","6.7","232","2020-06-10 15:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.2","...","1008.0","2020-06-11 07:01","1003.8","2020-06-11 16:31","30.5","34.6","2020-06-11 12:35","27.1","2020-06-11 05:31","...","76","54","2020-06-11 12:43","1.3","275","5.7","235","2020-06-11 12:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
