"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.1","...","1005.1","2020-10-01 21:43","1001.5","2020-10-01 14:11","27.1","31.6","2020-10-01 12:22","24.9","2020-10-01 23:55","...","88","59","2020-10-01 14:49","1.2","11","5.8","252","2020-10-01 14:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1004.7","...","1006.6","2020-10-02 21:46","1002.7","2020-10-02 13:54","27.7","34.0","2020-10-02 12:12","20.2","2020-10-02 15:25","...","77","43","2020-10-02 12:12","1.5","1","7.2","236","2020-10-02 13:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1004.7","...","1006.3","2020-10-03 00:01","1001.8","2020-10-03 14:47","27.8","32.9","2020-10-03 13:04","23.6","2020-10-03 06:02","...","80","48","2020-10-03 12:31","1.4","8","6.3","280","2020-10-03 14:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1003.5","...","1006.0","2020-10-04 00:01","1000.8","2020-10-04 14:25","28.3","35.1","2020-10-04 12:22","24.1","2020-10-04 06:31","...","78","43","2020-10-04 12:22","1.5","123","6.0","301","2020-10-04 15:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.2","...","1006.0","2020-10-05 21:06","1002.5","2020-10-05 14:12","28.3","34.1","2020-10-05 10:52","24.8","2020-10-05 06:02","...","76","40","2020-10-05 10:45","1.4","154","5.4","242","2020-10-05 13:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1005.6","...","1007.3","2020-10-06 21:40","1003.7","2020-10-06 15:01","27.5","33.8","2020-10-06 15:01","23.3","2020-10-06 05:31","...","76","49","2020-10-06 15:14","1.6","291","5.5","187","2020-10-06 16:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.3","...","1008.3","2020-10-07 09:05","1004.3","2020-10-07 15:51","26.3","30.4","2020-10-07 10:13","23.7","2020-10-07 02:12","...","76","58","2020-10-07 13:31","1.3","313","4.2","304","2020-10-07 10:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.8","...","1008.5","2020-10-08 21:32","1005.0","2020-10-08 14:25","25.9","29.5","2020-10-08 11:53","23.0","2020-10-08 03:01","...","78","59","2020-10-08 11:53","1.1","88","3.5","140","2020-10-08 09:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.3","...","1008.1","2020-10-09 08:03","1004.0","2020-10-09 14:31","26.5","32.5","2020-10-09 13:22","22.5","2020-10-09 05:48","...","80","47","2020-10-09 13:22","1.6","48","5.4","134","2020-10-09 16:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1004.8","...","1006.6","2020-10-10 08:08","1002.8","2020-10-10 14:51","26.7","32.0","2020-10-10 12:31","22.2","2020-10-10 05:35","...","80","50","2020-10-10 14:02","1.3","319","4.9","332","2020-10-10 11:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
