"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","895.2","...","896.7","2020-11-01 08:26","891.5","2020-11-01 14:41","15.7","32.2","2020-11-01 11:53","2.4","2020-11-01 00:21","...","99","88","2020-11-01 05:51","3.1","55","14.8","82","2020-11-01 14:44","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","895.7","...","897.6","2020-11-02 21:22","892.0","2020-11-02 03:41","14.7","21.5","2020-11-02 13:11","2.2","2020-11-02 22:21","...","99","88","2020-11-02 13:11","4.0","47","16.0","56","2020-11-02 15:45","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","897.1","...","898.6","2020-11-03 19:31","894.2","2020-11-03 04:33","11.8","16.6","2020-11-03 11:37","0.2","2020-11-03 14:24","...","99","88","2020-11-03 00:01","7.7","64","25.3","73","2020-11-03 23:34","25.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","897.5","...","898.9","2020-11-04 08:16","894.5","2020-11-04 13:56","10.9","27.3","2020-11-04 11:01","-4.0","2020-11-04 10:46","...","99","83","2020-11-04 11:13","4.4","70","24.2","47","2020-11-04 00:40","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","896.9","...","898.9","2020-11-05 09:08","893.9","2020-11-05 18:11","14.3","17.0","2020-11-05 22:41","0.5","2020-11-05 03:01","...","99","88","2020-11-05 23:42","3.6","52","17.6","57","2020-11-05 20:55","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","893.9","...","896.8","2020-11-06 00:25","890.4","2020-11-06 17:11","19.4","37.8","2020-11-06 11:25","6.4","2020-11-06 03:34","...","99","88","2020-11-06 03:34","3.8","57","22.0","107","2020-11-06 19:01","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","895.8","...","898.2","2020-11-07 19:39","891.5","2020-11-07 00:53","18.6","37.6","2020-11-07 11:45","5.6","2020-11-07 19:25","...","99","88","2020-11-07 17:26","4.0","115","22.0","109","2020-11-07 00:53","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","897.9","...","899.6","2020-11-08 09:51","895.2","2020-11-08 23:47","12.8","19.7","2020-11-08 10:14","-9.4","2020-11-08 11:11","...","99","87","2020-11-08 11:11","7.3","71","24.8","68","2020-11-08 19:54","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","897.9","...","900.1","2020-11-09 09:41","894.2","2020-11-09 13:41","10.8","18.9","2020-11-09 13:40","-1.4","2020-11-09 12:43","...","99","87","2020-11-09 18:47","6.0","72","21.5","66","2020-11-09 00:54","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
