"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","994.4","...","995.7","2020-09-01 22:01","993.1","2020-09-01 15:23","28.2","32.4","2020-09-01 13:41","24.4","2020-09-01 04:52","...","86","57","2020-09-01 17:22","1.9","263","10.4","339","2020-09-01 11:52","32.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","996.2","...","998.5","2020-09-02 22:51","994.3","2020-09-02 15:12","30.7","35.7","2020-09-02 13:54","26.5","2020-09-02 01:51","...","78","45","2020-09-02 12:33","1.7","244","9.9","289","2020-09-02 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1000.4","...","1002.6","2020-09-03 21:12","997.6","2020-09-03 01:31","27.8","31.9","2020-09-03 16:01","25.3","2020-09-03 09:29","...","97","74","2020-09-03 16:01","0.9","3","27.0","316","2020-09-03 14:09","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1000.9","...","1003.2","2020-09-04 08:24","998.7","2020-09-04 15:31","28.3","32.8","2020-09-04 12:12","24.5","2020-09-04 05:32","...","84","53","2020-09-04 12:12","2.7","79","11.5","85","2020-09-04 17:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","998.8","...","1001.0","2020-09-05 09:25","996.8","2020-09-05 15:34","27.5","31.4","2020-09-05 13:31","24.3","2020-09-05 05:53","...","77","40","2020-09-05 13:31","1.9","132","9.3","339","2020-09-05 15:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","997.3","...","998.6","2020-09-06 07:53","995.7","2020-09-06 14:24","26.3","30.8","2020-09-06 12:51","23.0","2020-09-06 23:51","...","62","28","2020-09-06 12:51","1.3","312","9.3","322","2020-09-06 12:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1000.1","...","1002.9","2020-09-07 22:51","998.9","2020-09-07 16:06","27.4","32.0","2020-09-07 16:21","26.5","2020-09-07 23:16","...","59","44","2020-09-07 16:14","0.9","23","7.1","130","2020-09-07 16:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.5","...","1005.2","2020-09-08 20:01","1001.9","2020-09-08 14:41","28.2","34.4","2020-09-08 12:42","24.8","2020-09-08 05:41","...","77","40","2020-09-08 12:44","0.8","86","7.7","350","2020-09-08 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.6","...","1004.6","2020-09-09 00:01","998.1","2020-09-09 16:11","28.1","33.5","2020-09-09 13:11","23.7","2020-09-09 03:41","...","82","45","2020-09-09 12:32","1.1","65","7.1","338","2020-09-09 13:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","999.2","...","1001.0","2020-09-10 09:21","996.8","2020-09-10 15:11","27.2","31.9","2020-09-10 15:52","24.6","2020-09-10 00:02","...","92","57","2020-09-10 16:43","0.6","16","5.5","94","2020-09-10 18:09","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1000.0","...","1002.1","2020-09-11 22:11","998.1","2020-09-11 16:21","28.6","33.0","2020-09-11 15:54","24.8","2020-09-11 05:44","...","88","56","2020-09-11 12:22","0.9","266","7.1","295","2020-09-11 12:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1002.8","...","1004.6","2020-09-12 19:33","1000.9","2020-09-12 04:31","28.2","32.7","2020-09-12 12:34","25.9","2020-09-12 04:41","...","94","61","2020-09-12 12:34","1.6","8","9.3","19","2020-09-12 15:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1003.5","...","1005.2","2020-09-13 08:25","1001.7","2020-09-13 15:21","27.2","31.0","2020-09-13 13:23","24.7","2020-09-13 04:56","...","97","74","2020-09-13 13:22","1.2","83","6.6","106","2020-09-13 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1002.1","...","1003.7","2020-09-14 00:01","999.6","2020-09-14 15:41","28.2","32.2","2020-09-14 15:03","24.4","2020-09-14 06:11","...","95","70","2020-09-14 10:23","1.1","6","6.6","355","2020-09-14 13:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1001.3","...","1002.8","2020-09-15 00:01","999.7","2020-09-15 14:41","28.6","32.6","2020-09-15 10:31","25.3","2020-09-15 04:11","...","93","64","2020-09-15 10:31","1.3","5","9.3","13","2020-09-15 14:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1000.8","...","1001.9","2020-09-16 07:21","999.3","2020-09-16 14:58","28.9","32.6","2020-09-16 11:01","25.6","2020-09-16 05:41","...","92","66","2020-09-16 11:01","0.9","13","7.1","2","2020-09-16 12:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1000.2","...","1001.9","2020-09-17 23:47","998.5","2020-09-17 14:29","29.7","34.4","2020-09-17 15:22","25.3","2020-09-17 04:31","...","82","48","2020-09-17 16:34","0.8","311","7.1","318","2020-09-17 14:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1003.3","...","1004.8","2020-09-18 20:12","1001.7","2020-09-18 00:01","28.9","34.3","2020-09-18 10:31","25.9","2020-09-18 06:04","...","90","50","2020-09-18 10:31","1.5","354","9.3","341","2020-09-18 12:18","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1004.3","...","1005.9","2020-09-19 07:51","1002.9","2020-09-19 14:18","29.1","33.3","2020-09-19 12:41","26.8","2020-09-19 23:53","...","94","66","2020-09-19 12:41","1.8","254","8.8","315","2020-09-19 13:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1003.9","...","1005.2","2020-09-20 08:57","1002.5","2020-09-20 16:02","26.1","29.9","2020-09-20 11:11","24.1","2020-09-20 07:43","...","100","93","2020-09-20 11:17","1.5","106","8.2","39","2020-09-20 14:25","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1003.4","...","1004.7","2020-09-21 09:33","1001.4","2020-09-21 15:04","26.4","29.4","2020-09-21 14:42","24.6","2020-09-21 00:28","...","86","60","2020-09-21 14:21","2.7","79","10.4","71","2020-09-21 13:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1002.4","...","1004.0","2020-09-22 08:31","1000.6","2020-09-22 14:49","26.3","30.2","2020-09-22 13:41","24.0","2020-09-22 05:14","...","72","48","2020-09-22 11:28","3.2","85","9.9","102","2020-09-22 19:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1001.9","...","1003.1","2020-09-23 20:41","1000.2","2020-09-23 14:43","26.9","32.1","2020-09-23 14:31","23.3","2020-09-23 05:41","...","73","48","2020-09-23 12:52","2.0","98","8.2","100","2020-09-23 08:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
