"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","994.8","...","996.8","2020-04-01 23:58","996.4","2020-04-01 23:53","15.7","15.8","2020-04-01 23:55","15.6","2020-04-01 23:47","...","90","79","2020-04-01 23:50","1.9","69","7.7","91","2020-04-01 23:48","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","996.2","...","997.2","2020-04-02 20:35","996.2","2020-04-02 23:02","16.4","17.7","2020-04-02 23:15","16.7","2020-04-02 20:35","...","96","96","2020-04-02 23:31","2.0","97","6.0","88","2020-04-02 23:07","20.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","994.4","...","994.9","2020-04-07 22:45","994.5","2020-04-07 23:52","15.0","15.9","2020-04-07 23:55","15.5","2020-04-07 23:05","...","88","84","2020-04-07 22:46","0.9","82","3.0","80","2020-04-07 22:50","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","994.3","...","995.7","2020-04-08 22:36","994.6","2020-04-08 23:41","16.8","17.2","2020-04-08 22:35","16.8","2020-04-08 22:55","...","84","90","2020-04-08 22:35","1.4","64","6.6","79","2020-04-08 23:22","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","996.0","...","997.6","2020-04-09 22:16","996.8","2020-04-09 23:52","18.2","18.0","2020-04-09 22:32","17.5","2020-04-09 23:02","...","84","78","2020-04-09 23:46","1.9","117","8.2","113","2020-04-09 23:00","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
