"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.0","...","1006.7","2021-04-01 07:14","1003.4","2021-04-01 02:21","26.4","30.8","2021-04-01 13:01","24.1","2021-04-01 04:35","...","71","49","2021-04-01 13:15","0.9","298","7.7","322","2021-04-01 14:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1007.2","...","1008.9","2021-04-02 08:37","1005.6","2021-04-02 03:06","26.3","31.4","2021-04-02 12:07","23.4","2021-04-02 05:33","...","69","47","2021-04-02 11:41","1.0","262","7.1","334","2021-04-02 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1009.0","...","1010.8","2021-04-03 08:37","1006.8","2021-04-03 13:36","25.0","29.9","2021-04-03 12:39","22.2","2021-04-03 20:20","...","72","50","2021-04-03 12:40","1.5","77","6.9","85","2021-04-03 14:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.9","...","1017.6","2021-04-04 21:48","1009.9","2021-04-04 00:20","19.4","22.8","2021-04-04 00:24","17.4","2021-04-04 23:38","...","70","57","2021-04-04 23:50","2.9","78","10.7","71","2021-04-04 13:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.9","...","1019.3","2021-04-05 07:49","1014.7","2021-04-05 15:23","17.6","19.9","2021-04-05 12:16","16.5","2021-04-05 05:32","...","52","37","2021-04-05 10:27","2.6","78","10.6","87","2021-04-05 14:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1016.1","...","1018.4","2021-04-06 21:36","1014.2","2021-04-06 03:18","18.8","21.1","2021-04-06 12:31","16.6","2021-04-06 01:43","...","59","49","2021-04-06 12:07","2.4","82","9.3","86","2021-04-06 11:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.0","...","1017.2","2021-04-08 00:00","1011.5","2021-04-07 16:23","20.4","23.1","2021-04-07 13:03","17.7","2021-04-07 03:45","...","59","46","2021-04-07 09:24","2.8","76","11.3","84","2021-04-07 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1012.4","...","1016.0","2021-04-08 21:58","1009.1","2021-04-08 03:28","20.1","24.0","2021-04-08 09:51","16.5","2021-04-08 23:33","...","68","53","2021-04-08 09:47","1.8","77","8.8","92","2021-04-08 20:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1016.2","...","1017.6","2021-04-09 22:26","1013.6","2021-04-09 02:32","16.7","17.5","2021-04-09 11:13","16.2","2021-04-09 01:15","...","75","71","2021-04-09 13:25","2.6","80","8.5","81","2021-04-09 15:24","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1017.1","...","1018.4","2021-04-10 09:12","1015.7","2021-04-10 15:34","18.8","20.7","2021-04-10 14:26","16.7","2021-04-11 00:00","...","77","67","2021-04-10 14:27","2.0","84","8.1","70","2021-04-10 15:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1014.9","...","1017.1","2021-04-11 08:40","1012.9","2021-04-11 15:18","24.6","29.6","2021-04-11 14:13","19.5","2021-04-11 00:53","...","63","45","2021-04-11 12:09","1.4","79","7.7","78","2021-04-11 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1012.7","...","1014.7","2021-04-12 08:08","1011.0","2021-04-12 14:24","24.9","29.8","2021-04-12 12:19","21.4","2021-04-12 05:42","...","65","44","2021-04-12 12:17","1.2","281","7.8","331","2021-04-12 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1011.9","...","1013.3","2021-04-13 21:10","1010.8","2021-04-13 15:19","23.6","30.1","2021-04-13 11:20","20.4","2021-04-13 21:52","...","68","42","2021-04-13 11:21","1.6","79","9.9","87","2021-04-13 17:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1012.9","...","1014.2","2021-04-14 09:02","1011.5","2021-04-14 04:18","19.5","21.0","2021-04-14 13:46","17.7","2021-04-14 18:48","...","75","65","2021-04-14 14:21","2.9","83","9.6","93","2021-04-14 18:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1011.1","...","1012.8","2021-04-15 21:12","1008.9","2021-04-15 14:59","20.5","23.7","2021-04-15 11:43","18.8","2021-04-15 20:40","...","76","65","2021-04-15 12:07","2.6","82","7.5","81","2021-04-15 01:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1011.4","...","1013.1","2021-04-16 21:55","1009.1","2021-04-16 15:14","21.0","24.2","2021-04-16 14:11","19.1","2021-04-16 00:06","...","74","59","2021-04-16 12:39","2.0","80","8.1","90","2021-04-16 15:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1014.6","...","1016.9","2021-04-17 21:27","1011.9","2021-04-17 00:38","22.2","25.5","2021-04-17 11:42","20.4","2021-04-18 00:00","...","63","38","2021-04-17 11:37","2.1","83","11.6","103","2021-04-17 15:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1015.1","...","1017.1","2021-04-18 06:29","1012.5","2021-04-18 16:07","20.9","22.8","2021-04-18 11:21","19.7","2021-04-18 22:47","...","52","42","2021-04-18 13:28","3.7","79","15.3","87","2021-04-18 16:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1011.7","...","1014.0","2021-04-20 00:00","1010.3","2021-04-19 19:02","21.6","24.6","2021-04-19 11:36","19.5","2021-04-19 01:48","...","57","45","2021-04-19 10:21","3.2","80","10.2","86","2021-04-19 01:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1010.5","...","1011.9","2021-04-20 08:15","1008.8","2021-04-20 14:47","23.7","27.7","2021-04-20 12:26","20.8","2021-04-20 02:46","...","51","37","2021-04-20 12:17","3.3","83","11.9","105","2021-04-20 14:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1009.0","...","1010.9","2021-04-21 07:50","1007.1","2021-04-21 14:09","24.8","29.4","2021-04-21 12:45","22.3","2021-04-21 02:39","...","61","36","2021-04-21 12:27","3.1","79","11.8","85","2021-04-21 14:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1004.6","...","1007.3","2021-04-23 00:00","1002.0","2021-04-22 15:37","26.8","30.1","2021-04-22 15:21","23.6","2021-04-22 00:01","...","66","51","2021-04-22 15:23","2.4","84","8.9","81","2021-04-22 12:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1005.3","...","1007.9","2021-04-23 21:42","1003.0","2021-04-23 04:01","24.5","27.3","2021-04-23 14:31","22.7","2021-04-23 22:52","...","70","54","2021-04-23 16:22","1.8","81","8.3","260","2021-04-23 10:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1008.2","...","1010.1","2021-04-24 09:10","1006.3","2021-04-24 02:00","24.6","27.9","2021-04-24 12:52","22.9","2021-04-25 00:00","...","66","50","2021-04-24 12:53","2.4","79","9.9","91","2021-04-24 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1010.5","...","1012.8","2021-04-25 21:35","1007.6","2021-04-25 03:14","23.1","24.8","2021-04-25 12:13","21.9","2021-04-25 19:25","...","66","54","2021-04-25 12:40","2.1","84","11.0","83","2021-04-25 09:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
