"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.8","...","1019.5","2021-12-01 08:06","1015.5","2021-12-01 14:43","16.0","18.2","2021-12-01 11:44","14.5","2021-12-01 23:53","...","72","66","2021-12-01 11:51","1.6","42","10.4","49","2021-12-01 00:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1015.6","...","1016.9","2021-12-02 00:12","1013.2","2021-12-02 14:42","16.2","20.1","2021-12-02 12:23","14.5","2021-12-02 06:44","...","78","71","2021-12-02 12:23","1.2","106","7.1","128","2021-12-02 11:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1016.8","...","1019.0","2021-12-03 22:23","1014.5","2021-12-03 13:06","15.5","19.6","2021-12-03 13:53","12.2","2021-12-03 05:34","...","74","63","2021-12-03 14:23","1.5","114","9.3","27","2021-12-03 13:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1017.5","...","1019.3","2021-12-04 08:22","1015.7","2021-12-04 13:53","17.0","20.8","2021-12-04 14:34","13.1","2021-12-04 04:42","...","72","63","2021-12-04 12:36","1.9","115","9.9","33","2021-12-04 10:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1015.2","...","1017.4","2021-12-05 08:43","1013.4","2021-12-05 14:49","18.3","22.1","2021-12-05 14:04","16.0","2021-12-05 08:01","...","82","76","2021-12-05 14:49","1.2","34","8.8","37","2021-12-05 12:24","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.3","...","1016.1","2021-12-06 22:21","1012.7","2021-12-06 04:23","18.3","22.7","2021-12-06 13:44","16.2","2021-12-06 07:24","...","86","76","2021-12-06 13:44","1.1","107","8.2","39","2021-12-06 14:52","14.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1017.5","...","1019.0","2021-12-07 20:13","1015.4","2021-12-07 01:53","18.0","19.6","2021-12-07 12:51","16.5","2021-12-07 02:54","...","81","73","2021-12-07 13:57","1.5","116","8.2","129","2021-12-07 09:29","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1017.6","...","1019.8","2021-12-08 08:53","1015.6","2021-12-08 14:44","20.0","23.6","2021-12-08 14:43","16.9","2021-12-08 05:43","...","74","65","2021-12-08 13:21","1.4","46","9.9","48","2021-12-08 15:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.9","...","...","...","...","...","21.2","...","...","...","...","...","78","...","...","0.9","40","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.1","...","1017.1","2021-12-10 09:03","1013.3","2021-12-10 14:15","21.6","24.0","2021-12-10 13:51","20.2","2021-12-10 23:21","...","78","73","2021-12-10 16:13","1.4","129","9.9","89","2021-12-10 14:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1014.8","...","1016.9","2021-12-11 08:25","1012.7","2021-12-11 14:51","21.9","26.7","2021-12-11 12:53","19.0","2021-12-11 04:13","...","79","67","2021-12-11 12:53","1.6","41","8.8","43","2021-12-11 12:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1016.4","...","1018.8","2021-12-12 21:14","1014.1","2021-12-12 01:34","18.6","20.7","2021-12-12 09:54","17.4","2021-12-12 19:21","...","86","82","2021-12-12 00:01","1.1","117","7.1","107","2021-12-12 20:12","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1017.1","...","...","...","...","...","17.6","...","...","...","...","...","85","...","...","1.2","117","...","...","...","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1012.9","...","1015.6","2021-12-14 00:01","1010.3","2021-12-14 14:21","21.0","24.9","2021-12-14 14:13","17.7","2021-12-14 00:03","...","79","73","2021-12-14 14:13","1.0","115","8.2","32","2021-12-14 11:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1010.7","...","1013.0","2021-12-15 09:43","1007.9","2021-12-15 14:51","22.6","27.5","2021-12-15 13:55","17.4","2021-12-15 05:54","...","77","70","2021-12-15 13:55","1.4","117","7.7","110","2021-12-15 06:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1010.9","...","...","...","...","...","21.7","...","...","...","...","...","82","...","...","1.3","211","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1016.7","...","1022.1","2021-12-17 23:12","1012.3","2021-12-17 00:03","18.2","20.8","2021-12-17 06:36","14.4","2021-12-17 23:51","...","80","73","2021-12-17 21:07","1.3","112","12.1","49","2021-12-17 21:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1019.9","...","1021.6","2021-12-18 00:01","1018.2","2021-12-18 14:44","15.1","16.3","2021-12-18 13:51","14.2","2021-12-18 16:55","...","77","71","2021-12-18 01:11","1.3","114","8.8","68","2021-12-18 13:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1017.5","...","1020.5","2021-12-19 08:29","1015.1","2021-12-19 23:53","17.3","20.7","2021-12-19 12:13","15.1","2021-12-19 00:03","...","73","66","2021-12-19 12:53","1.6","113","10.4","120","2021-12-19 14:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1013.6","...","1015.5","2021-12-20 00:11","1011.9","2021-12-20 23:41","19.1","22.9","2021-12-20 12:54","16.9","2021-12-20 01:33","...","78","71","2021-12-20 12:30","0.8","26","6.0","13","2021-12-20 00:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1009.5","...","1012.1","2021-12-21 00:01","1006.3","2021-12-21 15:01","17.6","19.3","2021-12-21 13:21","16.1","2021-12-21 23:51","...","89","82","2021-12-21 00:01","0.8","230","4.9","309","2021-12-21 18:58","16.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1011.5","...","1013.4","2021-12-22 20:13","1009.3","2021-12-22 02:01","16.4","17.4","2021-12-22 14:51","15.4","2021-12-22 07:01","...","90","85","2021-12-22 20:57","1.4","110","6.6","125","2021-12-22 18:32","10.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1010.8","...","1012.9","2021-12-23 08:43","1008.6","2021-12-23 14:47","19.3","22.1","2021-12-23 14:47","16.6","2021-12-23 00:03","...","87","83","2021-12-23 14:47","1.1","118","5.5","147","2021-12-23 05:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1011.5","...","1015.5","2021-12-24 23:25","1008.8","2021-12-24 03:27","17.9","19.1","2021-12-24 00:01","16.5","2021-12-24 10:03","...","90","75","2021-12-24 23:43","1.3","14","6.0","124","2021-12-24 23:46","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1019.2","...","1023.2","2021-12-25 21:06","1015.0","2021-12-25 00:20","15.7","18.7","2021-12-25 00:01","13.2","2021-12-25 23:42","...","86","76","2021-12-25 00:01","1.4","115","8.2","122","2021-12-25 12:01","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1023.6","...","...","...","...","...","13.2","...","...","...","...","...","87","...","...","1.4","117","...","...","...","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1023.1","...","...","...","...","...","12.3","...","...","...","...","...","87","...","...","1.0","88","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1017.6","...","1021.9","2021-12-28 00:01","1016.3","2021-12-28 15:11","17.4","19.4","2021-12-28 10:23","13.8","2021-12-28 00:41","...","85","78","2021-12-28 10:23","1.3","39","8.8","49","2021-12-28 10:35","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1017.9","...","1020.1","2021-12-29 20:53","1016.5","2021-12-29 14:25","17.0","19.7","2021-12-29 11:13","14.7","2021-12-29 06:18","...","86","80","2021-12-29 13:43","1.0","6","6.6","304","2021-12-29 13:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1020.9","...","1022.7","2021-12-30 09:44","1019.1","2021-12-30 03:13","15.7","16.5","2021-12-30 00:01","15.1","2021-12-30 19:08","...","77","74","2021-12-30 09:25","1.3","111","8.2","135","2021-12-30 14:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1020.9","...","1022.6","2021-12-31 09:34","1018.9","2021-12-31 15:53","15.6","17.0","2021-12-31 11:43","14.3","2021-12-31 23:36","...","79","75","2021-12-31 12:21","2.1","113","9.9","118","2021-12-31 11:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
