"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","920.1","1519.4","921.3","2021-09-01 09:25","918.8","2021-09-01 16:41","23.6","28.3","2021-09-01 11:25","21.2","2021-09-01 06:15","21.8","90","73","2021-09-01 11:28","2.1","200","10.4","170","2021-09-01 00:07","0.0","0.0","0.0","...","0.0","...","7.2","57.4","21.06","35.0","3.2","10","2021-09-01 12:00","3.0"
"02","919.0","1507.7","920.7","2021-09-02 00:01","917.4","2021-09-02 16:04","22.5","25.8","2021-09-02 14:11","20.3","2021-09-02 22:40","22.1","98","90","2021-09-02 14:12","1.4","180","6.8","340","2021-09-02 14:14","0.0","0.0","0.0","...","0.0","...","0.6","4.8","9.28","14.2","2.0","5","2021-09-02 13:00","6.3"
"03","917.8","1496.2","918.7","2021-09-03 00:22","916.4","2021-09-03 16:06","22.6","26.6","2021-09-03 10:28","20.3","2021-09-03 23:40","21.8","95","82","2021-09-03 10:46","1.6","180","6.4","130","2021-09-03 17:03","0.5","0.4","0.5","2021-09-03 13:12","0.5","2021-09-03 13:12","2.3","18.4","13.24","14.2","-1.4","7","2021-09-03 11:00","5.2"
"04","919.0","1506.2","920.5","2021-09-04 20:36","917.8","2021-09-04 03:39","21.8","25.4","2021-09-04 09:06","19.2","2021-09-04 00:54","21.5","98","76","2021-09-04 09:09","2.2","170","7.9","290","2021-09-04 11:52","5.5","2.8","4.5","2021-09-04 16:49","4.5","2021-09-04 16:49","2.9","23.2","11.48","15.8","-0.9","7","2021-09-04 10:00","7.0"
"05","919.3","1510.5","920.9","2021-09-05 22:28","918.3","2021-09-05 14:26","23.1","27.3","2021-09-05 14:51","20.7","2021-09-05 00:03","22.1","94","79","2021-09-05 14:12","3.2","190","13.7","150","2021-09-05 21:47","0.0","0.0","0.0","...","0.0","...","5.4","43.4","18.20","38.3","3.3","10","2021-09-05 13:00","3.8"
"06","920.9","1526.7","922.3","2021-09-06 20:29","919.7","2021-09-06 04:27","23.0","28.2","2021-09-06 12:07","21.1","2021-09-06 06:09","22.4","96","78","2021-09-06 12:09","2.0","190","13.8","180","2021-09-06 00:43","0.0","0.0","0.0","...","0.0","...","2.5","20.1","13.50","22.0","2.1","10","2021-09-06 12:00","8.2"
"07","920.3","1520.7","921.8","2021-09-07 00:01","918.6","2021-09-07 17:19","23.2","28.0","2021-09-07 13:52","20.0","2021-09-07 06:02","21.9","93","77","2021-09-07 15:21","1.9","190","9.3","160","2021-09-07 21:07","0.0","0.0","0.0","...","0.0","...","7.0","56.5","18.55","33.3","2.7","10","2021-09-07 14:00","2.2"
"08","919.2","1511.4","920.0","2021-09-08 10:07","918.2","2021-09-08 15:38","23.2","27.9","2021-09-08 13:17","21.2","2021-09-08 01:37","22.2","94","72","2021-09-08 14:43","2.4","190","13.5","190","2021-09-08 20:47","0.0","0.0","0.0","...","0.0","...","5.9","47.7","19.31","23.8","3.5","11","2021-09-08 13:00","3.8"
"09","919.1","1510.4","920.4","2021-09-09 21:49","918.2","2021-09-09 01:54","23.6","29.6","2021-09-09 13:23","20.6","2021-09-09 05:05","20.2","83","46","2021-09-09 12:42","3.7","190","17.4","200","2021-09-09 01:44","0.0","0.0","0.0","...","0.0","...","9.0","72.9","25.08","41.7","6.0","12","2021-09-09 12:00","4.7"
