"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.3","...","1004.5","2021-07-01 22:32","1000.8","2021-07-01 12:00","31.0","34.6","2021-07-01 11:22","28.1","2021-07-01 05:37","...","62","43","2021-07-01 11:21","1.5","253","8.2","259","2021-07-01 13:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1003.4","...","1004.8","2021-07-02 21:21","1001.8","2021-07-02 13:45","31.1","34.9","2021-07-02 14:01","28.2","2021-07-02 05:49","...","64","50","2021-07-02 11:14","1.2","70","7.7","312","2021-07-02 14:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1003.6","...","1005.3","2021-07-03 21:39","1001.8","2021-07-03 13:37","30.6","35.3","2021-07-03 11:42","28.0","2021-07-03 05:35","...","67","42","2021-07-03 12:14","1.0","15","7.7","66","2021-07-03 13:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.1","...","1007.2","2021-07-04 21:04","1003.6","2021-07-04 03:51","30.3","33.2","2021-07-04 11:52","27.8","2021-07-04 05:11","...","72","60","2021-07-04 16:51","1.0","11","6.0","4","2021-07-04 10:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1003.9","...","1005.6","2021-07-05 00:01","1001.9","2021-07-05 17:12","31.2","34.6","2021-07-05 15:52","28.6","2021-07-05 05:02","...","60","48","2021-07-05 10:31","1.6","73","10.4","72","2021-07-05 23:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1002.5","...","1007.9","2021-07-06 23:21","999.2","2021-07-06 05:12","30.8","35.7","2021-07-06 10:21","28.4","2021-07-06 02:23","...","66","46","2021-07-06 10:21","1.5","73","9.3","91","2021-07-06 00:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1008.0","...","1010.0","2021-07-07 22:07","1006.3","2021-07-07 03:19","29.7","34.1","2021-07-07 10:32","27.4","2021-07-07 18:16","...","78","53","2021-07-07 10:32","0.8","15","6.0","225","2021-07-07 12:00","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.8","...","1010.0","2021-07-08 08:11","1005.8","2021-07-08 16:53","30.9","34.4","2021-07-08 17:04","27.2","2021-07-08 04:31","...","70","46","2021-07-08 17:04","0.9","252","7.1","222","2021-07-08 15:56","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.5","...","1007.6","2021-07-09 00:01","1004.6","2021-07-09 16:01","31.2","35.9","2021-07-09 14:51","27.7","2021-07-09 05:01","...","64","40","2021-07-09 14:51","0.9","17","6.6","223","2021-07-09 12:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1007.4","...","1009.6","2021-07-10 21:11","1006.3","2021-07-10 00:28","30.5","33.4","2021-07-10 12:18","28.7","2021-07-10 05:11","...","70","58","2021-07-10 12:19","0.7","263","7.7","23","2021-07-10 12:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1008.5","...","1009.7","2021-07-11 07:51","1007.3","2021-07-11 16:38","30.1","33.7","2021-07-11 12:51","27.4","2021-07-11 05:22","...","70","53","2021-07-11 10:21","0.6","353","6.0","285","2021-07-11 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1007.5","...","1009.2","2021-07-12 07:53","1005.0","2021-07-12 16:21","30.1","33.9","2021-07-12 11:22","27.5","2021-07-12 03:11","...","75","59","2021-07-12 10:19","0.7","51","7.7","34","2021-07-12 13:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1006.0","...","1007.8","2021-07-13 19:26","1004.2","2021-07-13 14:32","29.5","34.8","2021-07-13 13:42","24.0","2021-07-13 19:42","...","74","51","2021-07-13 12:59","0.7","280","8.8","275","2021-07-13 19:20","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1005.5","...","1007.5","2021-07-14 07:51","1002.8","2021-07-14 16:22","30.2","34.2","2021-07-14 13:32","25.4","2021-07-14 06:11","...","67","39","2021-07-14 16:51","1.2","76","8.8","69","2021-07-14 17:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1005.1","...","1006.5","2021-07-15 21:43","1002.9","2021-07-15 16:11","31.4","35.9","2021-07-15 11:47","28.0","2021-07-15 05:21","...","56","40","2021-07-15 11:47","1.5","74","9.9","82","2021-07-15 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1004.7","...","1006.1","2021-07-16 00:01","1002.6","2021-07-16 16:41","31.0","35.5","2021-07-16 11:52","28.5","2021-07-16 04:31","...","59","42","2021-07-16 11:52","2.0","78","8.2","81","2021-07-16 19:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1001.9","...","1004.0","2021-07-17 00:01","999.5","2021-07-17 16:01","30.7","35.3","2021-07-17 11:46","27.9","2021-07-17 04:41","...","61","39","2021-07-17 13:01","2.5","75","11.0","95","2021-07-17 17:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1000.7","...","1002.1","2021-07-18 00:09","998.7","2021-07-18 16:12","30.5","34.2","2021-07-18 12:53","27.7","2021-07-18 05:11","...","60","47","2021-07-18 15:12","2.0","71","9.9","53","2021-07-18 14:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1000.6","...","1002.1","2021-07-19 22:11","999.0","2021-07-19 14:34","31.1","35.5","2021-07-19 12:42","28.5","2021-07-19 02:41","...","62","44","2021-07-19 11:51","2.6","60","10.4","61","2021-07-19 17:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.2","...","1002.6","2021-07-20 08:01","999.3","2021-07-20 15:42","30.3","34.1","2021-07-20 12:22","28.1","2021-07-20 05:41","...","68","47","2021-07-20 12:22","2.5","76","11.0","48","2021-07-20 15:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","999.1","...","1001.3","2021-07-21 00:02","996.3","2021-07-21 23:59","28.3","32.2","2021-07-21 11:32","24.7","2021-07-21 20:54","...","81","57","2021-07-21 13:23","1.4","17","11.5","345","2021-07-21 13:39","46.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","993.6","...","996.5","2021-07-22 00:01","991.9","2021-07-22 16:12","27.3","30.1","2021-07-22 11:11","25.4","2021-07-22 03:22","...","97","84","2021-07-22 11:17","1.5","5","9.3","35","2021-07-22 00:50","81.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","990.4","...","992.4","2021-07-23 00:01","988.5","2021-07-23 18:34","27.7","30.2","2021-07-23 12:44","25.1","2021-07-23 19:04","...","94","81","2021-07-23 17:01","2.2","20","12.6","332","2021-07-23 11:32","67.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","989.8","...","991.9","2021-07-24 23:12","987.6","2021-07-24 03:33","27.7","31.4","2021-07-24 21:01","24.3","2021-07-24 09:06","...","85","52","2021-07-24 21:01","2.4","241","11.5","237","2021-07-24 03:33","81.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
